Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
100.00	10.000	188.56	0.0053032	19.853	22.187	84.948	36.920	66.972	268.40	5.3423	21.919	0.031802	supercritical
100.00	10.033	189.40	0.0052797	19.844	22.175	84.895	36.938	67.124	268.36	5.3353	21.944	0.031858	supercritical
100.00	10.067	190.25	0.0052563	19.834	22.163	84.842	36.956	67.277	268.32	5.3283	21.969	0.031915	supercritical
100.00	10.100	191.09	0.0052331	19.825	22.151	84.789	36.973	67.430	268.29	5.3212	21.993	0.031972	supercritical
100.00	10.133	191.94	0.0052101	19.816	22.139	84.737	36.991	67.583	268.25	5.3141	22.018	0.032030	supercritical
100.00	10.167	192.78	0.0051872	19.806	22.127	84.684	37.008	67.737	268.21	5.3070	22.043	0.032087	supercritical
100.00	10.200	193.63	0.0051644	19.797	22.115	84.632	37.026	67.892	268.18	5.2998	22.069	0.032145	supercritical
100.00	10.233	194.48	0.0051419	19.788	22.103	84.579	37.044	68.047	268.14	5.2926	22.094	0.032203	supercritical
100.00	10.267	195.33	0.0051194	19.778	22.091	84.527	37.061	68.202	268.11	5.2854	22.120	0.032262	supercritical
100.00	10.300	196.19	0.0050971	19.769	22.079	84.475	37.079	68.358	268.08	5.2781	22.145	0.032320	supercritical
100.00	10.333	197.05	0.0050750	19.759	22.067	84.422	37.096	68.515	268.04	5.2708	22.171	0.032379	supercritical
100.00	10.367	197.90	0.0050530	19.750	22.055	84.370	37.114	68.672	268.01	5.2635	22.197	0.032438	supercritical
100.00	10.400	198.76	0.0050311	19.740	22.043	84.318	37.131	68.830	267.98	5.2561	22.223	0.032498	supercritical
100.00	10.433	199.62	0.0050094	19.731	22.031	84.266	37.149	68.988	267.95	5.2487	22.249	0.032557	supercritical
100.00	10.467	200.49	0.0049879	19.721	22.019	84.214	37.166	69.146	267.92	5.2413	22.276	0.032617	supercritical
100.00	10.500	201.35	0.0049664	19.712	22.007	84.162	37.184	69.305	267.89	5.2338	22.302	0.032677	supercritical
100.00	10.533	202.22	0.0049452	19.702	21.995	84.110	37.201	69.464	267.87	5.2263	22.329	0.032738	supercritical
100.00	10.567	203.09	0.0049240	19.693	21.983	84.058	37.219	69.624	267.84	5.2188	22.356	0.032798	supercritical
100.00	10.600	203.96	0.0049030	19.683	21.971	84.007	37.236	69.785	267.81	5.2112	22.383	0.032859	supercritical
100.00	10.633	204.83	0.0048821	19.674	21.958	83.955	37.253	69.946	267.79	5.2036	22.410	0.032920	supercritical
100.00	10.667	205.70	0.0048614	19.664	21.946	83.903	37.271	70.107	267.77	5.1960	22.438	0.032981	supercritical
100.00	10.700	206.58	0.0048408	19.655	21.934	83.852	37.288	70.269	267.74	5.1883	22.465	0.033043	supercritical
100.00	10.733	207.45	0.0048203	19.645	21.922	83.800	37.305	70.431	267.72	5.1806	22.493	0.033105	supercritical
100.00	10.767	208.33	0.0048000	19.635	21.910	83.748	37.323	70.594	267.70	5.1729	22.520	0.033167	supercritical
100.00	10.800	209.21	0.0047798	19.626	21.898	83.697	37.340	70.757	267.68	5.1651	22.548	0.033229	supercritical
100.00	10.833	210.10	0.0047597	19.616	21.885	83.646	37.357	70.920	267.66	5.1573	22.577	0.033292	supercritical
100.00	10.867	210.98	0.0047398	19.607	21.873	83.594	37.374	71.084	267.64	5.1495	22.605	0.033355	supercritical
100.00	10.900	211.87	0.0047199	19.597	21.861	83.543	37.392	71.249	267.62	5.1416	22.633	0.033418	supercritical
100.00	10.933	212.75	0.0047003	19.587	21.849	83.492	37.409	71.414	267.61	5.1337	22.662	0.033481	supercritical
100.00	10.967	213.64	0.0046807	19.578	21.837	83.440	37.426	71.579	267.59	5.1258	22.691	0.033545	supercritical
100.00	11.000	214.53	0.0046612	19.568	21.824	83.389	37.443	71.745	267.58	5.1178	22.719	0.033608	supercritical
100.00	11.033	215.43	0.0046419	19.558	21.812	83.338	37.460	71.911	267.56	5.1098	22.748	0.033672	supercritical
100.00	11.067	216.32	0.0046227	19.548	21.800	83.287	37.477	72.078	267.55	5.1018	22.778	0.033737	supercritical
100.00	11.100	217.22	0.0046036	19.539	21.788	83.236	37.494	72.245	267.54	5.0937	22.807	0.033801	supercritical
100.00	11.133	218.12	0.0045847	19.529	21.775	83.185	37.512	72.413	267.53	5.0856	22.837	0.033866	supercritical
100.00	11.167	219.02	0.0045659	19.519	21.763	83.134	37.529	72.581	267.52	5.0774	22.866	0.033931	supercritical
100.00	11.200	219.92	0.0045471	19.509	21.751	83.083	37.546	72.749	267.51	5.0693	22.896	0.033997	supercritical
100.00	11.233	220.82	0.0045285	19.500	21.739	83.033	37.562	72.918	267.50	5.0611	22.926	0.034062	supercritical
100.00	11.267	221.73	0.0045100	19.490	21.726	82.982	37.579	73.087	267.50	5.0528	22.956	0.034128	supercritical
100.00	11.300	222.63	0.0044917	19.480	21.714	82.931	37.596	73.257	267.49	5.0446	22.987	0.034194	supercritical
100.00	11.333	223.54	0.0044734	19.470	21.702	82.881	37.613	73.427	267.49	5.0363	23.017	0.034260	supercritical
100.00	11.367	224.45	0.0044553	19.461	21.689	82.830	37.630	73.597	267.48	5.0279	23.048	0.034327	supercritical
100.00	11.400	225.37	0.0044372	19.451	21.677	82.779	37.647	73.768	267.48	5.0196	23.079	0.034394	supercritical
100.00	11.433	226.28	0.0044193	19.441	21.665	82.729	37.664	73.939	267.48	5.0112	23.110	0.034461	supercritical
100.00	11.467	227.19	0.0044015	19.431	21.652	82.679	37.680	74.110	267.48	5.0028	23.141	0.034528	supercritical
100.00	11.500	228.11	0.0043838	19.421	21.640	82.628	37.697	74.282	267.48	4.9943	23.173	0.034596	supercritical
100.00	11.533	229.03	0.0043662	19.411	21.627	82.578	37.714	74.454	267.48	4.9858	23.204	0.034663	supercritical
100.00	11.567	229.95	0.0043487	19.401	21.615	82.527	37.731	74.627	267.48	4.9773	23.236	0.034731	supercritical
100.00	11.600	230.87	0.0043314	19.391	21.603	82.477	37.747	74.800	267.49	4.9687	23.268	0.034800	supercritical
100.00	11.633	231.80	0.0043141	19.382	21.590	82.427	37.764	74.973	267.49	4.9601	23.300	0.034868	supercritical
100.00	11.667	232.72	0.0042969	19.372	21.578	82.377	37.780	75.146	267.50	4.9515	23.332	0.034937	supercritical
100.00	11.700	233.65	0.0042799	19.362	21.566	82.327	37.797	75.320	267.51	4.9428	23.365	0.035006	supercritical
100.00	11.733	234.58	0.0042629	19.352	21.553	82.277	37.813	75.495	267.52	4.9342	23.397	0.035075	supercritical
100.00	11.767	235.51	0.0042461	19.342	21.541	82.227	37.830	75.669	267.52	4.9254	23.430	0.035145	supercritical
100.00	11.800	236.44	0.0042293	19.332	21.528	82.177	37.846	75.844	267.54	4.9167	23.463	0.035214	supercritical
100.00	11.833	237.38	0.0042127	19.322	21.516	82.127	37.863	76.019	267.55	4.9079	23.496	0.035284	supercritical
100.00	11.867	238.31	0.0041962	19.312	21.503	82.077	37.879	76.195	267.56	4.8991	23.529	0.035354	supercritical
100.00	11.900	239.25	0.0041797	19.302	21.491	82.027	37.895	76.370	267.57	4.8902	23.563	0.035425	supercritical
100.00	11.933	240.19	0.0041634	19.292	21.478	81.977	37.912	76.546	267.59	4.8814	23.597	0.035495	supercritical
100.00	11.967	241.13	0.0041471	19.282	21.466	81.928	37.928	76.723	267.60	4.8724	23.630	0.035566	supercritical
100.00	12.000	242.07	0.0041310	19.272	21.454	81.878	37.944	76.899	267.62	4.8635	23.664	0.035637	supercritical
100.00	12.033	243.02	0.0041149	19.262	21.441	81.828	37.960	77.076	267.64	4.8545	23.699	0.035709	supercritical
100.00	12.067	243.96	0.0040990	19.252	21.429	81.779	37.976	77.253	267.66	4.8455	23.733	0.035780	supercritical
100.00	12.100	244.91	0.0040831	19.242	21.416	81.729	37.992	77.431	267.68	4.8365	23.768	0.035852	supercritical
100.00	12.133	245.86	0.0040674	19.232	21.404	81.680	38.008	77.608	267.70	4.8274	23.802	0.035924	supercritical
100.00	12.167	246.81	0.0040517	19.222	21.391	81.630	38.024	77.786	267.73	4.8183	23.837	0.035997	supercritical
100.00	12.200	247.76	0.0040361	19.212	21.379	81.581	38.040	77.964	267.75	4.8092	23.872	0.036069	supercritical
100.00	12.233	248.71	0.0040207	19.201	21.366	81.532	38.056	78.142	267.78	4.8001	23.908	0.036142	supercritical
100.00	12.267	249.67	0.0040053	19.191	21.354	81.482	38.072	78.321	267.80	4.7909	23.943	0.036215	supercritical
100.00	12.300	250.63	0.0039900	19.181	21.341	81.433	38.088	78.499	267.83	4.7817	23.979	0.036288	supercritical
100.00	12.333	251.59	0.0039748	19.171	21.329	81.384	38.104	78.678	267.86	4.7724	24.015	0.036362	supercritical
100.00	12.367	252.55	0.0039597	19.161	21.316	81.335	38.119	78.857	267.89	4.7631	24.051	0.036435	supercritical
100.00	12.400	253.51	0.0039447	19.151	21.304	81.286	38.135	79.037	267.93	4.7538	24.087	0.036509	supercritical
100.00	12.433	254.47	0.0039297	19.141	21.291	81.237	38.151	79.216	267.96	4.7445	24.124	0.036583	supercritical
100.00	12.467	255.44	0.0039149	19.131	21.279	81.188	38.166	79.395	267.99	4.7351	24.160	0.036657	supercritical
100.00	12.500	256.40	0.0039001	19.120	21.266	81.139	38.182	79.575	268.03	4.7257	24.197	0.036732	supercritical
100.00	12.533	257.37	0.0038855	19.110	21.253	81.090	38.197	79.755	268.07	4.7163	24.234	0.036807	supercritical
100.00	12.567	258.34	0.0038709	19.100	21.241	81.041	38.213	79.935	268.10	4.7069	24.271	0.036882	supercritical
100.00	12.600	259.31	0.0038564	19.090	21.228	80.992	38.228	80.115	268.14	4.6974	24.309	0.036957	supercritical
100.00	12.633	260.28	0.0038420	19.080	21.216	80.943	38.243	80.295	268.18	4.6879	24.346	0.037032	supercritical
100.00	12.667	261.26	0.0038277	19.070	21.203	80.895	38.259	80.475	268.23	4.6784	24.384	0.037108	supercritical
100.00	12.700	262.23	0.0038134	19.059	21.191	80.846	38.274	80.655	268.27	4.6688	24.422	0.037184	supercritical
100.00	12.733	263.21	0.0037993	19.049	21.178	80.797	38.289	80.836	268.32	4.6592	24.460	0.037260	supercritical
100.00	12.767	264.19	0.0037852	19.039	21.166	80.749	38.304	81.016	268.36	4.6496	24.498	0.037336	supercritical
100.00	12.800	265.17	0.0037712	19.029	21.153	80.700	38.319	81.196	268.41	4.6399	24.537	0.037412	supercritical
100.00	12.833	266.15	0.0037573	19.018	21.141	80.652	38.334	81.377	268.46	4.6303	24.576	0.037489	supercritical
100.00	12.867	267.13	0.0037435	19.008	21.128	80.603	38.349	81.558	268.51	4.6206	24.615	0.037566	supercritical
100.00	12.900	268.11	0.0037298	18.998	21.115	80.555	38.364	81.738	268.56	4.6108	24.654	0.037643	supercritical
100.00	12.933	269.10	0.0037161	18.988	21.103	80.507	38.379	81.919	268.61	4.6011	24.693	0.037720	supercritical
100.00	12.967	270.09	0.0037025	18.977	21.090	80.458	38.394	82.099	268.67	4.5913	24.732	0.037797	supercritical
100.00	13.000	271.07	0.0036890	18.967	21.078	80.410	38.409	82.280	268.72	4.5815	24.772	0.037875	supercritical
100.00	13.033	272.06	0.0036756	18.957	21.065	80.362	38.423	82.460	268.78	4.5716	24.812	0.037953	supercritical
100.00	13.067	273.05	0.0036623	18.947	21.053	80.314	38.438	82.641	268.84	4.5618	24.852	0.038031	supercritical
100.00	13.100	274.05	0.0036490	18.936	21.040	80.266	38.453	82.821	268.90	4.5519	24.892	0.038109	supercritical
100.00	13.133	275.04	0.0036358	18.926	21.027	80.218	38.467	83.002	268.96	4.5420	24.933	0.038187	supercritical
100.00	13.167	276.03	0.0036227	18.916	21.015	80.170	38.482	83.182	269.02	4.5320	24.974	0.038266	supercritical
100.00	13.200	277.03	0.0036097	18.905	21.002	80.122	38.496	83.362	269.09	4.5221	25.014	0.038345	supercritical
100.00	13.233	278.03	0.0035968	18.895	20.990	80.074	38.510	83.542	269.15	4.5121	25.056	0.038424	supercritical
100.00	13.267	279.03	0.0035839	18.885	20.977	80.027	38.525	83.722	269.22	4.5021	25.097	0.038503	supercritical
100.00	13.300	280.03	0.0035711	18.874	20.965	79.979	38.539	83.902	269.29	4.4920	25.138	0.038582	supercritical
100.00	13.333	281.03	0.0035584	18.864	20.952	79.931	38.553	84.082	269.36	4.4820	25.180	0.038662	supercritical
100.00	13.367	282.03	0.0035457	18.854	20.939	79.883	38.567	84.261	269.43	4.4719	25.222	0.038741	supercritical
100.00	13.400	283.03	0.0035331	18.843	20.927	79.836	38.581	84.441	269.50	4.4618	25.264	0.038821	supercritical
100.00	13.433	284.04	0.0035206	18.833	20.914	79.788	38.595	84.620	269.58	4.4516	25.306	0.038901	supercritical
100.00	13.467	285.05	0.0035082	18.823	20.902	79.741	38.609	84.799	269.65	4.4415	25.349	0.038981	supercritical
100.00	13.500	286.05	0.0034958	18.812	20.889	79.694	38.623	84.978	269.73	4.4313	25.391	0.039062	supercritical
100.00	13.533	287.06	0.0034836	18.802	20.877	79.646	38.637	85.157	269.81	4.4211	25.434	0.039142	supercritical
100.00	13.567	288.07	0.0034714	18.792	20.864	79.599	38.650	85.335	269.89	4.4109	25.477	0.039223	supercritical
100.00	13.600	289.08	0.0034592	18.781	20.852	79.552	38.664	85.513	269.97	4.4006	25.520	0.039303	supercritical
100.00	13.633	290.10	0.0034471	18.771	20.839	79.504	38.678	85.691	270.06	4.3904	25.564	0.039384	supercritical
