Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
30.000	10.000	771.50	0.0012962	11.383	11.954	53.781	42.262	143.48	382.45	1.2018	66.722	0.084211	liquid
30.000	10.033	772.27	0.0012949	11.376	11.948	53.755	42.238	142.92	383.52	1.1940	66.849	0.084305	liquid
30.000	10.067	773.03	0.0012936	11.369	11.942	53.730	42.215	142.37	384.58	1.1862	66.975	0.084398	liquid
30.000	10.100	773.79	0.0012923	11.362	11.937	53.706	42.192	141.84	385.63	1.1785	67.100	0.084492	liquid
30.000	10.133	774.54	0.0012911	11.355	11.931	53.681	42.169	141.31	386.68	1.1710	67.225	0.084585	liquid
30.000	10.167	775.28	0.0012899	11.349	11.926	53.657	42.147	140.79	387.72	1.1635	67.349	0.084677	liquid
30.000	10.200	776.02	0.0012886	11.342	11.920	53.633	42.125	140.28	388.75	1.1562	67.471	0.084770	liquid
30.000	10.233	776.75	0.0012874	11.335	11.915	53.609	42.104	139.78	389.78	1.1489	67.594	0.084861	liquid
30.000	10.267	777.48	0.0012862	11.328	11.910	53.585	42.083	139.29	390.80	1.1417	67.715	0.084953	liquid
30.000	10.300	778.19	0.0012850	11.322	11.904	53.561	42.062	138.81	391.81	1.1346	67.836	0.085044	liquid
30.000	10.333	778.91	0.0012838	11.315	11.899	53.538	42.042	138.33	392.81	1.1276	67.956	0.085135	liquid
30.000	10.367	779.62	0.0012827	11.309	11.894	53.515	42.022	137.86	393.81	1.1207	68.075	0.085225	liquid
30.000	10.400	780.32	0.0012815	11.302	11.889	53.491	42.002	137.40	394.81	1.1139	68.193	0.085315	liquid
30.000	10.433	781.02	0.0012804	11.296	11.884	53.469	41.983	136.95	395.79	1.1072	68.311	0.085405	liquid
30.000	10.467	781.71	0.0012793	11.289	11.879	53.446	41.964	136.50	396.77	1.1005	68.428	0.085494	liquid
30.000	10.500	782.39	0.0012781	11.283	11.874	53.423	41.945	136.07	397.75	1.0939	68.545	0.085583	liquid
30.000	10.533	783.07	0.0012770	11.277	11.869	53.401	41.927	135.63	398.71	1.0874	68.661	0.085671	liquid
30.000	10.567	783.75	0.0012759	11.271	11.864	53.378	41.909	135.21	399.67	1.0809	68.776	0.085760	liquid
30.000	10.600	784.42	0.0012748	11.264	11.859	53.356	41.891	134.79	400.63	1.0746	68.891	0.085847	liquid
30.000	10.633	785.09	0.0012737	11.258	11.854	53.334	41.873	134.37	401.58	1.0683	69.005	0.085935	liquid
30.000	10.667	785.75	0.0012727	11.252	11.850	53.312	41.856	133.97	402.53	1.0621	69.118	0.086022	liquid
30.000	10.700	786.40	0.0012716	11.246	11.845	53.291	41.839	133.57	403.47	1.0559	69.231	0.086109	liquid
30.000	10.733	787.05	0.0012706	11.240	11.840	53.269	41.822	133.17	404.40	1.0498	69.343	0.086196	liquid
30.000	10.767	787.70	0.0012695	11.234	11.835	53.247	41.805	132.78	405.33	1.0438	69.454	0.086282	liquid
30.000	10.800	788.34	0.0012685	11.228	11.831	53.226	41.789	132.40	406.25	1.0379	69.565	0.086368	liquid
30.000	10.833	788.98	0.0012675	11.222	11.826	53.205	41.773	132.02	407.17	1.0320	69.676	0.086453	liquid
30.000	10.867	789.61	0.0012664	11.216	11.822	53.184	41.757	131.65	408.08	1.0262	69.785	0.086538	liquid
30.000	10.900	790.24	0.0012654	11.210	11.817	53.163	41.741	131.28	408.99	1.0204	69.895	0.086623	liquid
30.000	10.933	790.87	0.0012644	11.204	11.813	53.142	41.726	130.92	409.89	1.0147	70.003	0.086708	liquid
30.000	10.967	791.49	0.0012634	11.199	11.808	53.122	41.711	130.56	410.79	1.0091	70.112	0.086792	liquid
30.000	11.000	792.10	0.0012625	11.193	11.804	53.101	41.696	130.20	411.68	1.0035	70.219	0.086876	liquid
30.000	11.033	792.72	0.0012615	11.187	11.800	53.081	41.681	129.86	412.57	0.99795	70.326	0.086960	liquid
30.000	11.067	793.32	0.0012605	11.181	11.795	53.060	41.666	129.51	413.45	0.99248	70.433	0.087043	liquid
30.000	11.100	793.93	0.0012596	11.176	11.791	53.040	41.652	129.17	414.33	0.98707	70.539	0.087126	liquid
30.000	11.133	794.53	0.0012586	11.170	11.787	53.020	41.638	128.84	415.21	0.98171	70.645	0.087209	liquid
30.000	11.167	795.13	0.0012577	11.165	11.783	53.000	41.624	128.51	416.08	0.97641	70.750	0.087291	liquid
30.000	11.200	795.72	0.0012567	11.159	11.779	52.980	41.610	128.18	416.94	0.97116	70.855	0.087373	liquid
30.000	11.233	796.31	0.0012558	11.154	11.774	52.961	41.596	127.86	417.80	0.96596	70.959	0.087455	liquid
30.000	11.267	796.89	0.0012549	11.148	11.770	52.941	41.583	127.54	418.66	0.96081	71.062	0.087536	liquid
30.000	11.300	797.47	0.0012540	11.143	11.766	52.921	41.570	127.23	419.51	0.95571	71.166	0.087618	liquid
30.000	11.333	798.05	0.0012531	11.137	11.762	52.902	41.556	126.92	420.36	0.95066	71.268	0.087699	liquid
30.000	11.367	798.63	0.0012522	11.132	11.758	52.883	41.544	126.61	421.20	0.94566	71.371	0.087779	liquid
30.000	11.400	799.20	0.0012513	11.126	11.754	52.864	41.531	126.31	422.04	0.94070	71.473	0.087860	liquid
30.000	11.433	799.76	0.0012504	11.121	11.750	52.845	41.518	126.01	422.88	0.93580	71.574	0.087940	liquid
30.000	11.467	800.33	0.0012495	11.116	11.746	52.826	41.506	125.72	423.71	0.93093	71.675	0.088020	liquid
30.000	11.500	800.89	0.0012486	11.111	11.742	52.807	41.494	125.42	424.54	0.92612	71.776	0.088099	liquid
30.000	11.533	801.45	0.0012477	11.105	11.739	52.788	41.481	125.14	425.36	0.92135	71.876	0.088178	liquid
30.000	11.567	802.00	0.0012469	11.100	11.735	52.769	41.469	124.85	426.18	0.91662	71.976	0.088258	liquid
30.000	11.600	802.55	0.0012460	11.095	11.731	52.751	41.458	124.57	427.00	0.91194	72.075	0.088336	liquid
30.000	11.633	803.10	0.0012452	11.090	11.727	52.732	41.446	124.29	427.81	0.90729	72.174	0.088415	liquid
30.000	11.667	803.64	0.0012443	11.085	11.723	52.714	41.434	124.02	428.62	0.90269	72.272	0.088493	liquid
30.000	11.700	804.19	0.0012435	11.079	11.720	52.696	41.423	123.74	429.43	0.89814	72.370	0.088571	liquid
30.000	11.733	804.72	0.0012427	11.074	11.716	52.677	41.412	123.47	430.23	0.89362	72.468	0.088649	liquid
30.000	11.767	805.26	0.0012418	11.069	11.712	52.659	41.401	123.21	431.02	0.88914	72.565	0.088726	liquid
30.000	11.800	805.79	0.0012410	11.064	11.709	52.641	41.390	122.95	431.82	0.88470	72.662	0.088803	liquid
30.000	11.833	806.32	0.0012402	11.059	11.705	52.623	41.379	122.69	432.61	0.88030	72.759	0.088880	liquid
30.000	11.867	806.85	0.0012394	11.054	11.702	52.606	41.368	122.43	433.40	0.87594	72.855	0.088957	liquid
30.000	11.900	807.37	0.0012386	11.049	11.698	52.588	41.358	122.17	434.18	0.87162	72.951	0.089033	liquid
30.000	11.933	807.89	0.0012378	11.044	11.694	52.570	41.347	121.92	434.96	0.86733	73.046	0.089109	liquid
30.000	11.967	808.41	0.0012370	11.039	11.691	52.553	41.337	121.67	435.74	0.86308	73.141	0.089185	liquid
30.000	12.000	808.93	0.0012362	11.035	11.687	52.535	41.327	121.43	436.51	0.85886	73.236	0.089261	liquid
30.000	12.033	809.44	0.0012354	11.030	11.684	52.518	41.317	121.19	437.28	0.85469	73.330	0.089337	liquid
30.000	12.067	809.95	0.0012346	11.025	11.681	52.500	41.307	120.94	438.05	0.85054	73.424	0.089412	liquid
30.000	12.100	810.46	0.0012339	11.020	11.677	52.483	41.297	120.71	438.81	0.84643	73.518	0.089487	liquid
30.000	12.133	810.96	0.0012331	11.015	11.674	52.466	41.287	120.47	439.57	0.84236	73.611	0.089562	liquid
