Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
150.00	10.000	145.56	0.0068699	22.148	25.171	92.468	36.503	55.160	300.53	4.0143	23.152	0.032677	supercritical
150.00	10.033	146.12	0.0068436	22.142	25.164	92.427	36.512	55.216	300.52	4.0108	23.165	0.032705	supercritical
150.00	10.067	146.68	0.0068176	22.136	25.157	92.385	36.521	55.272	300.51	4.0074	23.179	0.032734	supercritical
150.00	10.100	147.24	0.0067917	22.130	25.149	92.344	36.530	55.328	300.50	4.0040	23.192	0.032763	supercritical
150.00	10.133	147.80	0.0067660	22.124	25.142	92.303	36.539	55.384	300.49	4.0005	23.206	0.032792	supercritical
150.00	10.167	148.36	0.0067405	22.119	25.134	92.263	36.547	55.440	300.48	3.9971	23.220	0.032821	supercritical
150.00	10.200	148.92	0.0067151	22.113	25.127	92.222	36.556	55.496	300.47	3.9936	23.234	0.032850	supercritical
150.00	10.233	149.48	0.0066899	22.107	25.120	92.181	36.565	55.553	300.46	3.9901	23.248	0.032880	supercritical
150.00	10.267	150.04	0.0066649	22.101	25.112	92.141	36.574	55.609	300.45	3.9866	23.262	0.032909	supercritical
150.00	10.300	150.60	0.0066400	22.095	25.105	92.100	36.582	55.666	300.44	3.9831	23.276	0.032938	supercritical
150.00	10.333	151.16	0.0066153	22.089	25.098	92.060	36.591	55.722	300.43	3.9796	23.290	0.032968	supercritical
150.00	10.367	151.73	0.0065908	22.083	25.090	92.019	36.600	55.779	300.42	3.9761	23.304	0.032997	supercritical
150.00	10.400	152.29	0.0065664	22.077	25.083	91.979	36.608	55.835	300.41	3.9726	23.318	0.033027	supercritical
150.00	10.433	152.85	0.0065422	22.071	25.075	91.939	36.617	55.892	300.41	3.9691	23.332	0.033056	supercritical
150.00	10.467	153.42	0.0065182	22.065	25.068	91.899	36.626	55.949	300.40	3.9655	23.346	0.033086	supercritical
150.00	10.500	153.98	0.0064943	22.060	25.061	91.859	36.635	56.006	300.39	3.9620	23.360	0.033116	supercritical
150.00	10.533	154.55	0.0064705	22.054	25.053	91.819	36.643	56.063	300.39	3.9584	23.375	0.033146	supercritical
150.00	10.567	155.11	0.0064469	22.048	25.046	91.779	36.652	56.120	300.38	3.9548	23.389	0.033176	supercritical
150.00	10.600	155.68	0.0064235	22.042	25.038	91.739	36.661	56.177	300.38	3.9513	23.403	0.033206	supercritical
150.00	10.633	156.24	0.0064002	22.036	25.031	91.699	36.669	56.234	300.37	3.9477	23.418	0.033236	supercritical
150.00	10.667	156.81	0.0063771	22.030	25.024	91.660	36.678	56.291	300.37	3.9441	23.432	0.033266	supercritical
150.00	10.700	157.38	0.0063541	22.024	25.016	91.620	36.687	56.348	300.36	3.9405	23.447	0.033296	supercritical
150.00	10.733	157.95	0.0063313	22.018	25.009	91.581	36.695	56.406	300.36	3.9369	23.461	0.033326	supercritical
