Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
50.000	10.000	384.33	0.0026019	15.758	16.903	69.514	45.270	255.60	218.24	5.6138	27.791	0.053980	supercritical
50.000	10.033	388.29	0.0025754	15.718	16.855	69.354	45.315	258.54	218.51	5.5578	28.025	0.054406	supercritical
50.000	10.067	392.29	0.0025491	15.678	16.807	69.194	45.357	261.39	218.81	5.5014	28.265	0.054827	supercritical
50.000	10.100	396.32	0.0025232	15.638	16.759	69.034	45.394	264.11	219.13	5.4446	28.508	0.055242	supercritical
50.000	10.133	400.37	0.0024977	15.597	16.711	68.875	45.427	266.69	219.48	5.3875	28.757	0.055651	supercritical
50.000	10.167	404.44	0.0024725	15.557	16.663	68.715	45.457	269.12	219.87	5.3300	29.009	0.056053	supercritical
50.000	10.200	408.53	0.0024478	15.517	16.616	68.556	45.482	271.39	220.28	5.2723	29.266	0.056447	supercritical
50.000	10.233	412.64	0.0024234	15.477	16.568	68.398	45.504	273.48	220.72	5.2143	29.526	0.056832	supercritical
50.000	10.267	416.76	0.0023995	15.436	16.521	68.240	45.521	275.38	221.20	5.1561	29.790	0.057208	supercritical
50.000	10.300	420.88	0.0023760	15.396	16.473	68.083	45.535	277.07	221.70	5.0977	30.058	0.057574	supercritical
50.000	10.333	425.01	0.0023529	15.356	16.426	67.927	45.544	278.55	222.24	5.0393	30.330	0.057929	supercritical
50.000	10.367	429.13	0.0023303	15.317	16.380	67.772	45.549	279.81	222.80	4.9808	30.604	0.058273	supercritical
50.000	10.400	433.26	0.0023081	15.277	16.334	67.619	45.551	280.85	223.40	4.9224	30.881	0.058606	supercritical
50.000	10.433	437.37	0.0022864	15.238	16.288	67.466	45.549	281.65	224.03	4.8640	31.160	0.058927	supercritical
50.000	10.467	441.47	0.0022652	15.199	16.242	67.315	45.542	282.22	224.69	4.8058	31.442	0.059237	supercritical
50.000	10.500	445.55	0.0022444	15.160	16.197	67.166	45.532	282.55	225.38	4.7478	31.726	0.059534	supercritical
50.000	10.533	449.61	0.0022241	15.122	16.153	67.018	45.519	282.66	226.10	4.6901	32.012	0.059820	supercritical
50.000	10.567	453.65	0.0022044	15.084	16.109	66.872	45.502	282.55	226.85	4.6327	32.299	0.060094	supercritical
50.000	10.600	457.65	0.0021851	15.046	16.066	66.728	45.482	282.22	227.62	4.5757	32.586	0.060357	supercritical
50.000	10.633	461.63	0.0021662	15.009	16.023	66.586	45.458	281.69	228.42	4.5192	32.875	0.060609	supercritical
50.000	10.667	465.57	0.0021479	14.972	15.981	66.446	45.432	280.98	229.25	4.4632	33.164	0.060850	supercritical
50.000	10.700	469.47	0.0021300	14.936	15.939	66.308	45.402	280.13	230.10	4.4080	33.454	0.061084	supercritical
50.000	10.733	473.34	0.0021126	14.900	15.898	66.172	45.370	279.17	230.97	4.3535	33.744	0.061311	supercritical
50.000	10.767	477.16	0.0020957	14.865	15.858	66.038	45.335	278.07	231.87	4.2996	34.033	0.061529	supercritical
50.000	10.800	480.94	0.0020792	14.830	15.819	65.906	45.298	276.83	232.79	4.2464	34.322	0.061739	supercritical
50.000	10.833	484.68	0.0020632	14.796	15.780	65.776	45.259	275.47	233.74	4.1938	34.611	0.061942	supercritical
50.000	10.867	488.37	0.0020476	14.762	15.742	65.649	45.218	273.99	234.71	4.1419	34.898	0.062136	supercritical
50.000	10.900	492.01	0.0020325	14.729	15.704	65.524	45.175	272.41	235.70	4.0906	35.185	0.062324	supercritical
50.000	10.933	495.61	0.0020177	14.696	15.667	65.401	45.131	270.73	236.71	4.0400	35.470	0.062505	supercritical
50.000	10.967	499.15	0.0020034	14.664	15.631	65.280	45.086	268.97	237.74	3.9902	35.754	0.062680	supercritical
50.000	11.000	502.64	0.0019895	14.633	15.596	65.161	45.039	267.14	238.79	3.9410	36.037	0.062849	supercritical
50.000	11.033	506.08	0.0019760	14.602	15.561	65.044	44.992	265.24	239.86	3.8926	36.318	0.063012	supercritical
50.000	11.067	509.47	0.0019628	14.571	15.527	64.930	44.944	263.28	240.95	3.8449	36.597	0.063171	supercritical
50.000	11.100	512.81	0.0019500	14.541	15.494	64.818	44.895	261.27	242.05	3.7980	36.874	0.063324	supercritical
50.000	11.133	516.10	0.0019376	14.511	15.461	64.708	44.846	259.23	243.16	3.7518	37.149	0.063473	supercritical
50.000	11.167	519.33	0.0019256	14.482	15.429	64.600	44.796	257.15	244.29	3.7064	37.423	0.063618	supercritical
50.000	11.200	522.51	0.0019138	14.454	15.397	64.494	44.746	255.04	245.43	3.6617	37.693	0.063760	supercritical
50.000	11.233	525.64	0.0019025	14.426	15.366	64.390	44.696	252.91	246.58	3.6178	37.962	0.063898	supercritical
50.000	11.267	528.71	0.0018914	14.398	15.336	64.287	44.646	250.77	247.74	3.5747	38.228	0.064033	supercritical
50.000	11.300	531.74	0.0018806	14.371	15.307	64.187	44.596	248.62	248.90	3.5323	38.492	0.064164	supercritical
50.000	11.333	534.71	0.0018702	14.345	15.278	64.089	44.546	246.46	250.08	3.4907	38.753	0.064294	supercritical
50.000	11.367	537.64	0.0018600	14.319	15.249	63.993	44.496	244.31	251.26	3.4498	39.012	0.064421	supercritical
50.000	11.400	540.51	0.0018501	14.293	15.222	63.898	44.446	242.16	252.44	3.4097	39.268	0.064545	supercritical
50.000	11.433	543.34	0.0018405	14.268	15.194	63.806	44.397	240.02	253.63	3.3703	39.522	0.064668	supercritical
50.000	11.467	546.11	0.0018311	14.244	15.168	63.715	44.348	237.89	254.83	3.3316	39.773	0.064789	supercritical
50.000	11.500	548.84	0.0018220	14.219	15.141	63.626	44.299	235.78	256.03	3.2937	40.021	0.064909	supercritical
50.000	11.533	551.53	0.0018131	14.195	15.116	63.538	44.251	233.69	257.23	3.2564	40.267	0.065027	supercritical
50.000	11.567	554.17	0.0018045	14.172	15.091	63.452	44.203	231.61	258.43	3.2199	40.511	0.065144	supercritical
50.000	11.600	556.76	0.0017961	14.149	15.066	63.368	44.155	229.56	259.63	3.1841	40.752	0.065259	supercritical
50.000	11.633	559.31	0.0017879	14.127	15.042	63.285	44.109	227.54	260.83	3.1489	40.990	0.065374	supercritical
50.000	11.667	561.81	0.0017799	14.104	15.018	63.204	44.062	225.54	262.04	3.1144	41.226	0.065488	supercritical
50.000	11.700	564.28	0.0017722	14.083	14.995	63.124	44.016	223.56	263.24	3.0805	41.459	0.065601	supercritical
50.000	11.733	566.70	0.0017646	14.061	14.972	63.046	43.971	221.62	264.44	3.0473	41.690	0.065714	supercritical
50.000	11.767	569.08	0.0017572	14.040	14.950	62.969	43.926	219.71	265.64	3.0148	41.918	0.065826	supercritical
50.000	11.800	571.43	0.0017500	14.019	14.928	62.893	43.881	217.83	266.84	2.9828	42.144	0.065937	supercritical
50.000	11.833	573.73	0.0017430	13.999	14.907	62.819	43.838	215.97	268.04	2.9515	42.367	0.066048	supercritical
50.000	11.867	576.00	0.0017361	13.979	14.886	62.746	43.794	214.16	269.23	2.9207	42.588	0.066159	supercritical
50.000	11.900	578.23	0.0017294	13.959	14.865	62.674	43.752	212.37	270.42	2.8906	42.807	0.066269	supercritical
50.000	11.933	580.42	0.0017229	13.940	14.845	62.603	43.709	210.61	271.61	2.8610	43.023	0.066379	supercritical
50.000	11.967	582.58	0.0017165	13.921	14.825	62.534	43.668	208.89	272.80	2.8319	43.237	0.066489	supercritical
50.000	12.000	584.71	0.0017102	13.902	14.805	62.466	43.627	207.20	273.98	2.8034	43.449	0.066598	supercritical
50.000	12.033	586.80	0.0017042	13.884	14.786	62.398	43.586	205.54	275.16	2.7755	43.659	0.066708	supercritical
50.000	12.067	588.86	0.0016982	13.865	14.767	62.332	43.546	203.92	276.33	2.7480	43.866	0.066817	supercritical
50.000	12.100	590.89	0.0016924	13.848	14.749	62.267	43.507	202.33	277.51	2.7211	44.071	0.066926	supercritical
50.000	12.133	592.89	0.0016867	13.830	14.731	62.203	43.468	200.76	278.67	2.6946	44.275	0.067035	supercritical
50.000	12.167	594.86	0.0016811	13.813	14.713	62.141	43.430	199.23	279.84	2.6687	44.476	0.067144	supercritical
50.000	12.200	596.79	0.0016756	13.795	14.695	62.079	43.392	197.73	281.00	2.6432	44.675	0.067253	supercritical
50.000	12.233	598.70	0.0016703	13.779	14.678	62.017	43.355	196.26	282.15	2.6181	44.872	0.067362	supercritical
50.000	12.267	600.59	0.0016650	13.762	14.661	61.957	43.318	194.82	283.30	2.5935	45.067	0.067470	supercritical
50.000	12.300	602.44	0.0016599	13.746	14.644	61.898	43.282	193.41	284.45	2.5694	45.260	0.067579	supercritical
50.000	12.333	604.27	0.0016549	13.730	14.628	61.840	43.247	192.03	285.59	2.5457	45.451	0.067687	supercritical
50.000	12.367	606.07	0.0016500	13.714	14.612	61.782	43.212	190.68	286.73	2.5224	45.641	0.067795	supercritical
50.000	12.400	607.85	0.0016452	13.698	14.596	61.726	43.177	189.35	287.86	2.4995	45.828	0.067904	supercritical
50.000	12.433	609.60	0.0016404	13.682	14.580	61.670	43.143	188.05	288.99	2.4770	46.014	0.068012	supercritical
50.000	12.467	611.33	0.0016358	13.667	14.565	61.615	43.110	186.78	290.11	2.4549	46.198	0.068120	supercritical
50.000	12.500	613.03	0.0016312	13.652	14.549	61.560	43.077	185.54	291.23	2.4332	46.380	0.068227	supercritical
50.000	12.533	614.71	0.0016268	13.637	14.535	61.507	43.045	184.31	292.35	2.4118	46.561	0.068335	supercritical
50.000	12.567	616.37	0.0016224	13.623	14.520	61.454	43.013	183.12	293.45	2.3908	46.740	0.068443	supercritical
50.000	12.600	618.01	0.0016181	13.608	14.505	61.402	42.981	181.94	294.56	2.3702	46.917	0.068550	supercritical
50.000	12.633	619.62	0.0016139	13.594	14.491	61.350	42.950	180.79	295.66	2.3499	47.093	0.068657	supercritical
50.000	12.667	621.22	0.0016097	13.580	14.477	61.299	42.920	179.67	296.75	2.3299	47.267	0.068764	supercritical
50.000	12.700	622.79	0.0016057	13.566	14.463	61.249	42.890	178.56	297.84	2.3102	47.440	0.068871	supercritical
50.000	12.733	624.35	0.0016017	13.552	14.450	61.200	42.860	177.48	298.93	2.2909	47.611	0.068978	supercritical
50.000	12.767	625.88	0.0015977	13.538	14.436	61.151	42.831	176.42	300.01	2.2719	47.780	0.069084	supercritical
50.000	12.800	627.40	0.0015939	13.525	14.423	61.102	42.802	175.38	301.08	2.2532	47.948	0.069191	supercritical
50.000	12.833	628.90	0.0015901	13.512	14.410	61.055	42.774	174.36	302.15	2.2348	48.115	0.069297	supercritical
50.000	12.867	630.37	0.0015864	13.499	14.397	61.008	42.746	173.35	303.22	2.2167	48.280	0.069403	supercritical
50.000	12.900	631.84	0.0015827	13.486	14.384	60.961	42.718	172.37	304.28	2.1988	48.444	0.069508	supercritical
50.000	12.933	633.28	0.0015791	13.473	14.372	60.915	42.691	171.41	305.33	2.1812	48.607	0.069614	supercritical
50.000	12.967	634.71	0.0015755	13.460	14.359	60.869	42.664	170.46	306.38	2.1640	48.768	0.069719	supercritical
50.000	13.000	636.12	0.0015720	13.448	14.347	60.825	42.638	169.53	307.43	2.1469	48.928	0.069824	supercritical
50.000	13.033	637.51	0.0015686	13.435	14.335	60.780	42.612	168.62	308.47	2.1301	49.086	0.069929	supercritical
50.000	13.067	638.89	0.0015652	13.423	14.323	60.736	42.586	167.73	309.50	2.1136	49.244	0.070033	supercritical
50.000	13.100	640.25	0.0015619	13.411	14.311	60.693	42.561	166.85	310.54	2.0974	49.400	0.070137	supercritical
50.000	13.133	641.60	0.0015586	13.399	14.300	60.650	42.536	165.99	311.56	2.0813	49.555	0.070241	supercritical
50.000	13.167	642.93	0.0015554	13.387	14.288	60.607	42.512	165.14	312.59	2.0655	49.708	0.070345	supercritical
50.000	13.200	644.25	0.0015522	13.375	14.277	60.565	42.488	164.31	313.60	2.0499	49.861	0.070449	supercritical
50.000	13.233	645.56	0.0015491	13.364	14.266	60.524	42.464	163.49	314.62	2.0346	50.012	0.070552	supercritical
