Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
160.00	11.633	166.20	0.0060167	22.301	25.381	91.880	36.964	56.603	305.99	3.6395	24.134	0.034490	supercritical
160.00	11.667	166.75	0.0059971	22.295	25.374	91.844	36.972	56.654	305.99	3.6360	24.149	0.034519	supercritical
160.00	11.700	167.29	0.0059775	22.290	25.368	91.808	36.979	56.704	306.00	3.6326	24.163	0.034548	supercritical
160.00	11.733	167.84	0.0059580	22.284	25.361	91.772	36.987	56.755	306.01	3.6291	24.178	0.034577	supercritical
160.00	11.767	168.39	0.0059387	22.278	25.354	91.736	36.995	56.806	306.03	3.6257	24.193	0.034607	supercritical
160.00	11.800	168.93	0.0059195	22.273	25.347	91.700	37.002	56.857	306.04	3.6222	24.207	0.034636	supercritical
160.00	11.833	169.48	0.0059004	22.267	25.340	91.664	37.010	56.908	306.05	3.6187	24.222	0.034665	supercritical
160.00	11.867	170.03	0.0058814	22.262	25.333	91.628	37.017	56.959	306.06	3.6152	24.237	0.034695	supercritical
160.00	11.900	170.58	0.0058625	22.256	25.326	91.592	37.025	57.010	306.07	3.6117	24.252	0.034724	supercritical
160.00	11.933	171.12	0.0058437	22.250	25.320	91.557	37.032	57.061	306.08	3.6082	24.267	0.034754	supercritical
160.00	11.967	171.67	0.0058251	22.245	25.313	91.521	37.040	57.112	306.10	3.6047	24.282	0.034784	supercritical
160.00	12.000	172.22	0.0058065	22.239	25.306	91.485	37.047	57.163	306.11	3.6012	24.297	0.034813	supercritical
160.00	12.033	172.77	0.0057881	22.234	25.299	91.450	37.055	57.214	306.12	3.5977	24.312	0.034843	supercritical
160.00	12.067	173.32	0.0057697	22.228	25.292	91.415	37.062	57.265	306.14	3.5942	24.327	0.034873	supercritical
160.00	12.100	173.87	0.0057515	22.222	25.285	91.379	37.070	57.316	306.15	3.5906	24.342	0.034903	supercritical
160.00	12.133	174.42	0.0057333	22.217	25.278	91.344	37.077	57.367	306.16	3.5871	24.357	0.034933	supercritical
160.00	12.167	174.97	0.0057153	22.211	25.272	91.309	37.085	57.418	306.18	3.5836	24.372	0.034963	supercritical
160.00	12.200	175.52	0.0056974	22.206	25.265	91.274	37.092	57.469	306.19	3.5800	24.388	0.034993	supercritical
160.00	12.233	176.07	0.0056795	22.200	25.258	91.238	37.100	57.521	306.21	3.5764	24.403	0.035023	supercritical
160.00	12.267	176.62	0.0056618	22.194	25.251	91.203	37.107	57.572	306.23	3.5729	24.418	0.035053	supercritical
160.00	12.300	177.17	0.0056442	22.189	25.244	91.168	37.114	57.623	306.24	3.5693	24.434	0.035083	supercritical
160.00	12.333	177.73	0.0056266	22.183	25.237	91.134	37.122	57.675	306.26	3.5657	24.449	0.035114	supercritical
160.00	12.367	178.28	0.0056092	22.178	25.230	91.099	37.129	57.726	306.28	3.5621	24.465	0.035144	supercritical
160.00	12.400	178.83	0.0055919	22.172	25.224	91.064	37.137	57.777	306.29	3.5585	24.480	0.035174	supercritical
160.00	12.433	179.38	0.0055746	22.166	25.217	91.029	37.144	57.829	306.31	3.5549	24.496	0.035205	supercritical
160.00	12.467	179.94	0.0055575	22.161	25.210	90.994	37.151	57.880	306.33	3.5513	24.511	0.035235	supercritical
160.00	12.500	180.49	0.0055405	22.155	25.203	90.960	37.159	57.932	306.35	3.5477	24.527	0.035266	supercritical
160.00	12.533	181.04	0.0055235	22.149	25.196	90.925	37.166	57.983	306.37	3.5441	24.543	0.035297	supercritical
160.00	12.567	181.60	0.0055066	22.144	25.189	90.891	37.174	58.034	306.39	3.5405	24.558	0.035327	supercritical
160.00	12.600	182.15	0.0054899	22.138	25.182	90.856	37.181	58.086	306.41	3.5368	24.574	0.035358	supercritical
160.00	12.633	182.71	0.0054732	22.133	25.176	90.822	37.188	58.137	306.43	3.5332	24.590	0.035389	supercritical
160.00	12.667	183.26	0.0054566	22.127	25.169	90.788	37.196	58.189	306.45	3.5296	24.606	0.035420	supercritical
