Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
130.00	10.000	159.06	0.0062870	21.275	24.042	89.733	36.458	58.046	288.84	4.4935	22.559	0.031948	supercritical
130.00	10.033	159.69	0.0062619	21.268	24.033	89.688	36.469	58.124	288.82	4.4892	22.575	0.031984	supercritical
130.00	10.067	160.33	0.0062371	21.261	24.024	89.644	36.480	58.202	288.80	4.4848	22.592	0.032020	supercritical
130.00	10.100	160.97	0.0062123	21.254	24.016	89.600	36.491	58.279	288.78	4.4804	22.608	0.032056	supercritical
130.00	10.133	161.61	0.0061878	21.247	24.007	89.555	36.503	58.357	288.76	4.4761	22.625	0.032092	supercritical
130.00	10.167	162.25	0.0061634	21.241	23.998	89.511	36.514	58.435	288.74	4.4717	22.642	0.032128	supercritical
130.00	10.200	162.89	0.0061392	21.234	23.990	89.467	36.525	58.513	288.72	4.4673	22.658	0.032164	supercritical
130.00	10.233	163.53	0.0061151	21.227	23.981	89.423	36.536	58.592	288.70	4.4628	22.675	0.032201	supercritical
130.00	10.267	164.17	0.0060912	21.220	23.972	89.380	36.547	58.670	288.68	4.4584	22.692	0.032237	supercritical
130.00	10.300	164.81	0.0060675	21.213	23.963	89.336	36.559	58.749	288.67	4.4539	22.709	0.032274	supercritical
130.00	10.333	165.46	0.0060439	21.206	23.955	89.292	36.570	58.827	288.65	4.4495	22.726	0.032311	supercritical
130.00	10.367	166.10	0.0060204	21.199	23.946	89.249	36.581	58.906	288.63	4.4450	22.743	0.032348	supercritical
130.00	10.400	166.75	0.0059972	21.192	23.937	89.205	36.592	58.985	288.62	4.4405	22.760	0.032385	supercritical
130.00	10.433	167.39	0.0059740	21.185	23.928	89.162	36.603	59.064	288.60	4.4360	22.778	0.032422	supercritical
130.00	10.467	168.04	0.0059511	21.178	23.920	89.118	36.614	59.143	288.59	4.4314	22.795	0.032459	supercritical
130.00	10.500	168.68	0.0059282	21.172	23.911	89.075	36.625	59.223	288.57	4.4269	22.812	0.032496	supercritical
130.00	10.533	169.33	0.0059056	21.165	23.902	89.032	36.636	59.302	288.56	4.4223	22.830	0.032533	supercritical
130.00	10.567	169.98	0.0058830	21.158	23.893	88.989	36.648	59.382	288.54	4.4177	22.847	0.032571	supercritical
130.00	10.600	170.63	0.0058607	21.151	23.885	88.946	36.659	59.462	288.53	4.4132	22.865	0.032609	supercritical
130.00	10.633	171.28	0.0058384	21.144	23.876	88.903	36.670	59.541	288.52	4.4086	22.882	0.032646	supercritical
130.00	10.667	171.93	0.0058163	21.137	23.867	88.860	36.681	59.621	288.51	4.4039	22.900	0.032684	supercritical
130.00	10.700	172.58	0.0057944	21.130	23.858	88.817	36.692	59.701	288.49	4.3993	22.918	0.032722	supercritical
130.00	10.733	173.23	0.0057726	21.123	23.850	88.774	36.703	59.782	288.48	4.3947	22.936	0.032760	supercritical
130.00	10.767	173.89	0.0057509	21.116	23.841	88.731	36.714	59.862	288.47	4.3900	22.954	0.032798	supercritical
130.00	10.800	174.54	0.0057294	21.109	23.832	88.689	36.725	59.943	288.46	4.3853	22.972	0.032837	supercritical
130.00	10.833	175.19	0.0057080	21.102	23.823	88.646	36.736	60.023	288.45	4.3807	22.990	0.032875	supercritical
130.00	10.867	175.85	0.0056867	21.095	23.815	88.604	36.747	60.104	288.44	4.3760	23.008	0.032913	supercritical
130.00	10.900	176.50	0.0056656	21.088	23.806	88.561	36.758	60.185	288.43	4.3712	23.026	0.032952	supercritical
130.00	10.933	177.16	0.0056446	21.081	23.797	88.519	36.769	60.266	288.43	4.3665	23.044	0.032991	supercritical
