Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
40.000	10.000	628.61	0.0015908	13.077	13.777	59.689	45.292	248.98	269.89	2.6596	47.652	0.071867	supercritical
40.000	10.033	631.09	0.0015846	13.055	13.755	59.612	45.185	245.05	271.77	2.6235	47.930	0.071939	supercritical
40.000	10.067	633.51	0.0015785	13.035	13.734	59.537	45.081	241.30	273.62	2.5885	48.203	0.072015	supercritical
40.000	10.100	635.86	0.0015727	13.014	13.714	59.464	44.981	237.72	275.44	2.5546	48.471	0.072093	supercritical
40.000	10.133	638.15	0.0015670	12.995	13.694	59.393	44.884	234.30	277.24	2.5217	48.733	0.072175	supercritical
40.000	10.167	640.39	0.0015616	12.975	13.674	59.323	44.791	231.03	279.01	2.4898	48.990	0.072259	supercritical
40.000	10.200	642.57	0.0015562	12.957	13.655	59.256	44.701	227.90	280.77	2.4589	49.243	0.072345	supercritical
40.000	10.233	644.70	0.0015511	12.938	13.637	59.190	44.614	224.90	282.49	2.4288	49.490	0.072433	supercritical
40.000	10.267	646.78	0.0015461	12.920	13.619	59.125	44.531	222.03	284.20	2.3995	49.734	0.072524	supercritical
40.000	10.300	648.82	0.0015413	12.903	13.601	59.062	44.449	219.27	285.88	2.3711	49.973	0.072616	supercritical
40.000	10.333	650.81	0.0015366	12.885	13.584	59.000	44.371	216.62	287.55	2.3434	50.208	0.072709	supercritical
40.000	10.367	652.75	0.0015320	12.868	13.567	58.939	44.295	214.07	289.19	2.3165	50.439	0.072805	supercritical
40.000	10.400	654.66	0.0015275	12.852	13.551	58.880	44.222	211.62	290.81	2.2903	50.667	0.072901	supercritical
40.000	10.433	656.53	0.0015232	12.836	13.535	58.822	44.150	209.26	292.41	2.2647	50.890	0.072999	supercritical
40.000	10.467	658.36	0.0015189	12.820	13.519	58.765	44.081	206.98	294.00	2.2398	51.111	0.073097	supercritical
40.000	10.500	660.15	0.0015148	12.804	13.504	58.709	44.014	204.79	295.56	2.2156	51.328	0.073197	supercritical
40.000	10.533	661.91	0.0015108	12.789	13.489	58.654	43.950	202.67	297.10	2.1919	51.541	0.073297	supercritical
40.000	10.567	663.63	0.0015069	12.774	13.475	58.600	43.887	200.63	298.63	2.1688	51.752	0.073398	supercritical
40.000	10.600	665.33	0.0015030	12.759	13.460	58.547	43.826	198.66	300.14	2.1462	51.960	0.073500	supercritical
40.000	10.633	666.99	0.0014993	12.744	13.446	58.495	43.766	196.75	301.63	2.1241	52.164	0.073602	supercritical
40.000	10.667	668.62	0.0014956	12.730	13.432	58.444	43.709	194.91	303.11	2.1026	52.366	0.073705	supercritical
40.000	10.700	670.22	0.0014920	12.716	13.419	58.394	43.652	193.12	304.57	2.0816	52.565	0.073808	supercritical
40.000	10.733	671.80	0.0014885	12.702	13.406	58.344	43.598	191.39	306.01	2.0610	52.762	0.073912	supercritical
40.000	10.767	673.35	0.0014851	12.689	13.392	58.296	43.545	189.72	307.44	2.0409	52.956	0.074016	supercritical
40.000	10.800	674.87	0.0014818	12.675	13.380	58.248	43.493	188.09	308.86	2.0212	53.147	0.074120	supercritical
40.000	10.833	676.37	0.0014785	12.662	13.367	58.201	43.443	186.52	310.26	2.0019	53.336	0.074224	supercritical
40.000	10.867	677.85	0.0014753	12.649	13.355	58.155	43.394	184.99	311.64	1.9830	53.523	0.074329	supercritical
40.000	10.900	679.30	0.0014721	12.637	13.343	58.109	43.347	183.51	313.01	1.9646	53.708	0.074434	supercritical
40.000	10.933	680.73	0.0014690	12.624	13.331	58.064	43.300	182.07	314.37	1.9465	53.890	0.074538	supercritical
40.000	10.967	682.14	0.0014660	12.612	13.319	58.020	43.255	180.67	315.71	1.9287	54.070	0.074643	supercritical
40.000	11.000	683.52	0.0014630	12.599	13.308	57.976	43.211	179.31	317.04	1.9113	54.249	0.074748	supercritical
40.000	11.033	684.89	0.0014601	12.587	13.296	57.933	43.168	177.98	318.36	1.8943	54.425	0.074853	supercritical
40.000	11.067	686.23	0.0014572	12.575	13.285	57.891	43.126	176.70	319.66	1.8776	54.599	0.074957	supercritical
40.000	11.100	687.56	0.0014544	12.564	13.274	57.849	43.085	175.44	320.96	1.8612	54.772	0.075062	supercritical
40.000	11.133	688.87	0.0014517	12.552	13.263	57.808	43.045	174.22	322.24	1.8451	54.942	0.075166	supercritical
40.000	11.167	690.16	0.0014489	12.541	13.253	57.767	43.006	173.03	323.51	1.8294	55.111	0.075271	supercritical
40.000	11.200	691.43	0.0014463	12.529	13.242	57.727	42.968	171.88	324.77	1.8139	55.278	0.075375	supercritical
40.000	11.233	692.69	0.0014437	12.518	13.232	57.687	42.930	170.75	326.01	1.7987	55.443	0.075479	supercritical
40.000	11.267	693.93	0.0014411	12.507	13.222	57.648	42.894	169.65	327.25	1.7837	55.607	0.075583	supercritical
40.000	11.300	695.15	0.0014385	12.496	13.212	57.609	42.858	168.57	328.47	1.7691	55.769	0.075687	supercritical
40.000	11.333	696.36	0.0014360	12.486	13.202	57.571	42.823	167.53	329.69	1.7547	55.929	0.075790	supercritical
40.000	11.367	697.55	0.0014336	12.475	13.192	57.533	42.789	166.50	330.90	1.7405	56.088	0.075894	supercritical
40.000	11.400	698.73	0.0014312	12.464	13.183	57.496	42.756	165.51	332.09	1.7266	56.246	0.075997	supercritical
40.000	11.433	699.89	0.0014288	12.454	13.173	57.459	42.723	164.53	333.28	1.7129	56.402	0.076099	supercritical
40.000	11.467	701.04	0.0014265	12.444	13.164	57.422	42.691	163.58	334.45	1.6994	56.557	0.076202	supercritical
40.000	11.500	702.17	0.0014241	12.434	13.155	57.386	42.660	162.65	335.62	1.6862	56.710	0.076304	supercritical
40.000	11.533	703.30	0.0014219	12.424	13.145	57.351	42.629	161.74	336.77	1.6732	56.862	0.076406	supercritical
40.000	11.567	704.40	0.0014196	12.414	13.136	57.315	42.599	160.85	337.92	1.6604	57.012	0.076508	supercritical
40.000	11.600	705.50	0.0014174	12.404	13.128	57.280	42.570	159.98	339.06	1.6478	57.161	0.076609	supercritical
40.000	11.633	706.58	0.0014153	12.394	13.119	57.246	42.541	159.13	340.19	1.6354	57.309	0.076710	supercritical
40.000	11.667	707.65	0.0014131	12.385	13.110	57.212	42.512	158.30	341.31	1.6232	57.456	0.076811	supercritical
40.000	11.700	708.71	0.0014110	12.375	13.102	57.178	42.485	157.48	342.43	1.6112	57.602	0.076912	supercritical
40.000	11.733	709.76	0.0014089	12.366	13.093	57.145	42.457	156.68	343.53	1.5993	57.746	0.077012	supercritical
40.000	11.767	710.80	0.0014069	12.357	13.085	57.111	42.431	155.90	344.63	1.5877	57.889	0.077112	supercritical
40.000	11.800	711.82	0.0014048	12.347	13.077	57.079	42.404	155.13	345.72	1.5762	58.031	0.077211	supercritical
40.000	11.833	712.84	0.0014028	12.338	13.069	57.046	42.379	154.38	346.80	1.5649	58.172	0.077311	supercritical
40.000	11.867	713.84	0.0014009	12.329	13.061	57.014	42.353	153.65	347.88	1.5538	58.312	0.077409	supercritical
40.000	11.900	714.84	0.0013989	12.320	13.053	56.982	42.328	152.93	348.95	1.5428	58.451	0.077508	supercritical
40.000	11.933	715.82	0.0013970	12.311	13.045	56.951	42.304	152.22	350.01	1.5320	58.589	0.077606	supercritical
40.000	11.967	716.80	0.0013951	12.303	13.037	56.919	42.280	151.53	351.06	1.5213	58.725	0.077704	supercritical
40.000	12.000	717.76	0.0013932	12.294	13.030	56.889	42.256	150.85	352.11	1.5108	58.861	0.077802	supercritical
40.000	12.033	718.72	0.0013914	12.285	13.022	56.858	42.233	150.18	353.15	1.5004	58.996	0.077899	supercritical
40.000	12.067	719.66	0.0013895	12.277	13.015	56.828	42.210	149.53	354.18	1.4902	59.130	0.077996	supercritical
40.000	12.100	720.60	0.0013877	12.268	13.007	56.797	42.188	148.88	355.20	1.4801	59.262	0.078092	supercritical
40.000	12.133	721.53	0.0013859	12.260	13.000	56.768	42.166	148.25	356.22	1.4702	59.394	0.078189	supercritical
40.000	12.167	722.45	0.0013842	12.252	12.993	56.738	42.144	147.64	357.24	1.4604	59.525	0.078285	supercritical
40.000	12.200	723.36	0.0013824	12.243	12.986	56.709	42.123	147.03	358.24	1.4507	59.655	0.078380	supercritical
