Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
90.000	10.000	202.93	0.0049278	19.322	21.491	83.055	37.343	72.722	260.44	5.6513	21.852	0.032291	supercritical
90.000	10.033	203.89	0.0049046	19.311	21.477	82.997	37.364	72.930	260.40	5.6426	21.882	0.032362	supercritical
90.000	10.067	204.85	0.0048816	19.300	21.463	82.940	37.386	73.139	260.35	5.6339	21.912	0.032432	supercritical
90.000	10.100	205.81	0.0048587	19.290	21.449	82.882	37.407	73.349	260.31	5.6252	21.942	0.032503	supercritical
90.000	10.133	206.78	0.0048360	19.279	21.436	82.825	37.429	73.560	260.26	5.6163	21.972	0.032575	supercritical
90.000	10.167	207.75	0.0048135	19.268	21.422	82.767	37.450	73.771	260.22	5.6075	22.003	0.032647	supercritical
90.000	10.200	208.72	0.0047911	19.257	21.408	82.710	37.471	73.984	260.18	5.5986	22.034	0.032719	supercritical
90.000	10.233	209.69	0.0047689	19.246	21.394	82.653	37.492	74.197	260.14	5.5896	22.064	0.032791	supercritical
90.000	10.267	210.67	0.0047468	19.236	21.380	82.595	37.514	74.411	260.10	5.5806	22.096	0.032864	supercritical
90.000	10.300	211.65	0.0047248	19.225	21.366	82.538	37.535	74.626	260.06	5.5716	22.127	0.032937	supercritical
90.000	10.333	212.63	0.0047030	19.214	21.353	82.481	37.556	74.842	260.02	5.5625	22.158	0.033011	supercritical
90.000	10.367	213.61	0.0046814	19.203	21.339	82.424	37.577	75.059	259.99	5.5533	22.190	0.033085	supercritical
90.000	10.400	214.60	0.0046598	19.192	21.325	82.367	37.599	75.276	259.95	5.5441	22.222	0.033159	supercritical
90.000	10.433	215.59	0.0046385	19.181	21.311	82.309	37.620	75.495	259.92	5.5349	22.254	0.033234	supercritical
90.000	10.467	216.58	0.0046172	19.170	21.297	82.252	37.641	75.714	259.89	5.5256	22.287	0.033309	supercritical
90.000	10.500	217.57	0.0045961	19.159	21.283	82.195	37.662	75.934	259.85	5.5162	22.319	0.033384	supercritical
90.000	10.533	218.57	0.0045752	19.148	21.269	82.138	37.683	76.155	259.82	5.5068	22.352	0.033460	supercritical
90.000	10.567	219.57	0.0045544	19.137	21.255	82.081	37.704	76.377	259.79	5.4974	22.385	0.033536	supercritical
90.000	10.600	220.57	0.0045337	19.126	21.241	82.024	37.725	76.600	259.77	5.4879	22.419	0.033612	supercritical
90.000	10.633	221.58	0.0045131	19.115	21.227	81.968	37.746	76.823	259.74	5.4783	22.452	0.033689	supercritical
90.000	10.667	222.58	0.0044927	19.104	21.213	81.911	37.767	77.047	259.71	5.4688	22.486	0.033766	supercritical
90.000	10.700	223.59	0.0044724	19.093	21.199	81.854	37.788	77.272	259.69	5.4591	22.520	0.033844	supercritical
90.000	10.733	224.60	0.0044523	19.082	21.185	81.797	37.809	77.498	259.66	5.4494	22.554	0.033921	supercritical
90.000	10.767	225.62	0.0044323	19.071	21.171	81.740	37.830	77.725	259.64	5.4397	22.588	0.034000	supercritical
90.000	10.800	226.64	0.0044124	19.059	21.157	81.684	37.851	77.952	259.62	5.4299	22.623	0.034078	supercritical
90.000	10.833	227.66	0.0043926	19.048	21.143	81.627	37.871	78.181	259.60	5.4201	22.658	0.034157	supercritical
90.000	10.867	228.68	0.0043730	19.037	21.128	81.570	37.892	78.410	259.58	5.4102	22.693	0.034236	supercritical
90.000	10.900	229.70	0.0043535	19.026	21.114	81.514	37.913	78.639	259.56	5.4003	22.728	0.034316	supercritical
90.000	10.933	230.73	0.0043341	19.015	21.100	81.457	37.934	78.870	259.55	5.3903	22.764	0.034396	supercritical
90.000	10.967	231.76	0.0043148	19.003	21.086	81.401	37.954	79.101	259.53	5.3803	22.799	0.034476	supercritical
90.000	11.000	232.79	0.0042957	18.992	21.072	81.344	37.975	79.333	259.52	5.3702	22.835	0.034557	supercritical
90.000	11.033	233.83	0.0042766	18.981	21.058	81.288	37.996	79.566	259.51	5.3601	22.871	0.034638	supercritical
90.000	11.067	234.87	0.0042577	18.970	21.043	81.231	38.016	79.799	259.50	5.3499	22.908	0.034719	supercritical
90.000	11.100	235.91	0.0042390	18.958	21.029	81.175	38.037	80.034	259.49	5.3397	22.945	0.034801	supercritical
90.000	11.133	236.95	0.0042203	18.947	21.015	81.119	38.057	80.268	259.48	5.3294	22.982	0.034883	supercritical
90.000	11.167	237.99	0.0042018	18.936	21.001	81.062	38.078	80.504	259.47	5.3191	23.019	0.034966	supercritical
90.000	11.200	239.04	0.0041834	18.924	20.986	81.006	38.098	80.740	259.47	5.3087	23.056	0.035048	supercritical
90.000	11.233	240.09	0.0041650	18.913	20.972	80.950	38.118	80.977	259.46	5.2983	23.094	0.035132	supercritical
90.000	11.267	241.15	0.0041469	18.902	20.958	80.894	38.139	81.215	259.46	5.2879	23.132	0.035215	supercritical
90.000	11.300	242.20	0.0041288	18.890	20.943	80.838	38.159	81.453	259.46	5.2774	23.170	0.035299	supercritical
90.000	11.333	243.26	0.0041108	18.879	20.929	80.782	38.179	81.692	259.46	5.2668	23.208	0.035383	supercritical
90.000	11.367	244.32	0.0040930	18.867	20.915	80.725	38.199	81.932	259.46	5.2562	23.247	0.035467	supercritical
90.000	11.400	245.38	0.0040752	18.856	20.900	80.669	38.219	82.172	259.46	5.2456	23.286	0.035552	supercritical
90.000	11.433	246.45	0.0040576	18.844	20.886	80.613	38.239	82.412	259.47	5.2349	23.325	0.035637	supercritical
90.000	11.467	247.52	0.0040401	18.833	20.872	80.557	38.259	82.654	259.47	5.2241	23.364	0.035723	supercritical
90.000	11.500	248.59	0.0040227	18.821	20.857	80.502	38.279	82.896	259.48	5.2133	23.404	0.035809	supercritical
90.000	11.533	249.66	0.0040054	18.810	20.843	80.446	38.299	83.138	259.49	5.2025	23.444	0.035895	supercritical
90.000	11.567	250.74	0.0039882	18.798	20.828	80.390	38.319	83.381	259.50	5.1916	23.484	0.035982	supercritical
90.000	11.600	251.82	0.0039711	18.787	20.814	80.334	38.339	83.625	259.51	5.1807	23.525	0.036068	supercritical
90.000	11.633	252.90	0.0039542	18.775	20.799	80.278	38.359	83.869	259.52	5.1697	23.565	0.036156	supercritical
90.000	11.667	253.98	0.0039373	18.763	20.785	80.222	38.378	84.113	259.54	5.1587	23.606	0.036243	supercritical
90.000	11.700	255.07	0.0039205	18.752	20.771	80.167	38.398	84.359	259.56	5.1476	23.647	0.036331	supercritical
90.000	11.733	256.16	0.0039039	18.740	20.756	80.111	38.418	84.604	259.57	5.1365	23.689	0.036419	supercritical
90.000	11.767	257.25	0.0038873	18.729	20.742	80.055	38.437	84.850	259.59	5.1253	23.730	0.036508	supercritical
90.000	11.800	258.34	0.0038709	18.717	20.727	80.000	38.457	85.097	259.61	5.1141	23.772	0.036596	supercritical
90.000	11.833	259.43	0.0038545	18.705	20.713	79.944	38.476	85.344	259.64	5.1029	23.815	0.036686	supercritical
90.000	11.867	260.53	0.0038383	18.693	20.698	79.889	38.495	85.591	259.66	5.0916	23.857	0.036775	supercritical
90.000	11.900	261.63	0.0038221	18.682	20.683	79.833	38.515	85.839	259.69	5.0802	23.900	0.036865	supercritical
90.000	11.933	262.74	0.0038061	18.670	20.669	79.778	38.534	86.087	259.71	5.0688	23.943	0.036955	supercritical
90.000	11.967	263.84	0.0037902	18.658	20.654	79.722	38.553	86.335	259.74	5.0574	23.986	0.037045	supercritical
90.000	12.000	264.95	0.0037743	18.647	20.640	79.667	38.572	86.584	259.77	5.0459	24.030	0.037136	supercritical
90.000	12.033	266.06	0.0037586	18.635	20.625	79.612	38.591	86.833	259.81	5.0344	24.074	0.037227	supercritical
90.000	12.067	267.17	0.0037429	18.623	20.611	79.556	38.610	87.082	259.84	5.0228	24.118	0.037318	supercritical
90.000	12.100	268.29	0.0037274	18.611	20.596	79.501	38.629	87.332	259.88	5.0112	24.162	0.037410	supercritical
90.000	12.133	269.40	0.0037119	18.599	20.582	79.446	38.647	87.582	259.91	4.9995	24.207	0.037502	supercritical
90.000	12.167	270.52	0.0036966	18.588	20.567	79.391	38.666	87.832	259.95	4.9878	24.252	0.037594	supercritical
90.000	12.200	271.64	0.0036813	18.576	20.552	79.336	38.685	88.083	259.99	4.9761	24.297	0.037686	supercritical
90.000	12.233	272.77	0.0036661	18.564	20.538	79.280	38.703	88.333	260.04	4.9643	24.342	0.037779	supercritical
90.000	12.267	273.89	0.0036511	18.552	20.523	79.225	38.722	88.584	260.08	4.9525	24.388	0.037872	supercritical
90.000	12.300	275.02	0.0036361	18.540	20.508	79.170	38.740	88.835	260.13	4.9406	24.434	0.037965	supercritical
