Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
60.000	10.000	289.95	0.0034489	17.187	18.705	75.015	41.347	133.47	229.93	6.2836	23.517	0.040459	supercritical
60.000	10.033	291.99	0.0034247	17.165	18.677	74.916	41.403	134.62	229.89	6.2573	23.606	0.040683	supercritical
60.000	10.067	294.05	0.0034008	17.142	18.649	74.816	41.459	135.77	229.85	6.2308	23.696	0.040908	supercritical
60.000	10.100	296.13	0.0033769	17.119	18.621	74.717	41.515	136.94	229.82	6.2040	23.788	0.041134	supercritical
60.000	10.133	298.22	0.0033533	17.097	18.592	74.617	41.571	138.11	229.80	6.1769	23.880	0.041363	supercritical
60.000	10.167	300.32	0.0033298	17.074	18.564	74.516	41.627	139.30	229.77	6.1496	23.974	0.041593	supercritical
60.000	10.200	302.44	0.0033064	17.051	18.535	74.416	41.682	140.49	229.76	6.1220	24.070	0.041824	supercritical
60.000	10.233	304.58	0.0032832	17.028	18.506	74.315	41.737	141.69	229.75	6.0941	24.167	0.042057	supercritical
60.000	10.267	306.73	0.0032602	17.004	18.477	74.214	41.792	142.89	229.74	6.0659	24.265	0.042292	supercritical
60.000	10.300	308.90	0.0032373	16.981	18.449	74.113	41.847	144.10	229.74	6.0375	24.365	0.042527	supercritical
60.000	10.333	311.08	0.0032146	16.958	18.419	74.011	41.901	145.32	229.75	6.0088	24.466	0.042765	supercritical
60.000	10.367	313.28	0.0031921	16.934	18.390	73.910	41.955	146.55	229.76	5.9798	24.569	0.043003	supercritical
60.000	10.400	315.49	0.0031697	16.910	18.361	73.808	42.008	147.78	229.78	5.9506	24.673	0.043243	supercritical
60.000	10.433	317.72	0.0031474	16.886	18.332	73.706	42.061	149.01	229.80	5.9211	24.779	0.043484	supercritical
60.000	10.467	319.96	0.0031254	16.863	18.302	73.604	42.114	150.25	229.83	5.8914	24.886	0.043726	supercritical
60.000	10.500	322.22	0.0031035	16.839	18.273	73.501	42.166	151.49	229.87	5.8614	24.995	0.043969	supercritical
60.000	10.533	324.49	0.0030817	16.814	18.243	73.399	42.218	152.73	229.91	5.8312	25.105	0.044213	supercritical
60.000	10.567	326.78	0.0030601	16.790	18.213	73.296	42.269	153.97	229.96	5.8007	25.217	0.044458	supercritical
60.000	10.600	329.09	0.0030387	16.766	18.183	73.193	42.320	155.22	230.02	5.7699	25.330	0.044703	supercritical
60.000	10.633	331.40	0.0030175	16.742	18.154	73.090	42.370	156.46	230.09	5.7390	25.445	0.044950	supercritical
60.000	10.667	333.74	0.0029964	16.717	18.124	72.987	42.419	157.70	230.16	5.7078	25.561	0.045197	supercritical
60.000	10.700	336.08	0.0029755	16.692	18.094	72.883	42.468	158.94	230.24	5.6764	25.680	0.045445	supercritical
