Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
140.00	10.000	151.89	0.0065838	21.716	24.614	91.134	36.457	56.422	294.84	4.2453	22.846	0.032274	supercritical
140.00	10.033	152.48	0.0065582	21.710	24.606	91.091	36.467	56.487	294.82	4.2415	22.860	0.032306	supercritical
140.00	10.067	153.08	0.0065327	21.704	24.598	91.049	36.477	56.553	294.81	4.2376	22.875	0.032338	supercritical
140.00	10.100	153.67	0.0065074	21.697	24.590	91.006	36.487	56.618	294.79	4.2338	22.890	0.032370	supercritical
140.00	10.133	154.27	0.0064823	21.691	24.582	90.964	36.497	56.684	294.78	4.2299	22.905	0.032402	supercritical
140.00	10.167	154.86	0.0064574	21.685	24.574	90.922	36.507	56.749	294.76	4.2261	22.920	0.032434	supercritical
140.00	10.200	155.46	0.0064326	21.678	24.566	90.879	36.517	56.815	294.75	4.2222	22.935	0.032467	supercritical
140.00	10.233	156.06	0.0064080	21.672	24.558	90.837	36.526	56.881	294.73	4.2183	22.951	0.032499	supercritical
140.00	10.267	156.65	0.0063835	21.665	24.550	90.795	36.536	56.947	294.72	4.2143	22.966	0.032531	supercritical
140.00	10.300	157.25	0.0063592	21.659	24.542	90.753	36.546	57.013	294.71	4.2104	22.981	0.032564	supercritical
140.00	10.333	157.85	0.0063351	21.653	24.534	90.711	36.556	57.079	294.69	4.2065	22.997	0.032597	supercritical
140.00	10.367	158.45	0.0063111	21.646	24.526	90.669	36.566	57.145	294.68	4.2025	23.012	0.032629	supercritical
140.00	10.400	159.05	0.0062873	21.640	24.518	90.628	36.576	57.212	294.67	4.1986	23.027	0.032662	supercritical
140.00	10.433	159.65	0.0062636	21.634	24.510	90.586	36.585	57.278	294.66	4.1946	23.043	0.032695	supercritical
140.00	10.467	160.25	0.0062401	21.627	24.502	90.544	36.595	57.344	294.65	4.1906	23.059	0.032728	supercritical
140.00	10.500	160.85	0.0062168	21.621	24.494	90.503	36.605	57.411	294.64	4.1866	23.074	0.032761	supercritical
140.00	10.533	161.46	0.0061936	21.615	24.486	90.462	36.615	57.478	294.63	4.1826	23.090	0.032795	supercritical
140.00	10.567	162.06	0.0061705	21.608	24.478	90.420	36.625	57.544	294.62	4.1786	23.106	0.032828	supercritical
140.00	10.600	162.66	0.0061476	21.602	24.470	90.379	36.634	57.611	294.61	4.1746	23.121	0.032861	supercritical
140.00	10.633	163.27	0.0061249	21.595	24.462	90.338	36.644	57.678	294.60	4.1706	23.137	0.032895	supercritical
140.00	10.667	163.87	0.0061023	21.589	24.454	90.297	36.654	57.745	294.59	4.1665	23.153	0.032928	supercritical
140.00	10.700	164.48	0.0060798	21.583	24.446	90.256	36.664	57.812	294.58	4.1625	23.169	0.032962	supercritical
140.00	10.733	165.08	0.0060575	21.576	24.438	90.215	36.673	57.880	294.58	4.1584	23.185	0.032996	supercritical
140.00	10.767	165.69	0.0060353	21.570	24.430	90.174	36.683	57.947	294.57	4.1543	23.201	0.033029	supercritical
140.00	10.800	166.30	0.0060133	21.563	24.422	90.133	36.693	58.014	294.56	4.1502	23.217	0.033063	supercritical
140.00	10.833	166.91	0.0059914	21.557	24.414	90.092	36.703	58.082	294.56	4.1461	23.234	0.033097	supercritical
140.00	10.867	167.51	0.0059696	21.551	24.406	90.051	36.712	58.149	294.55	4.1420	23.250	0.033131	supercritical
140.00	10.900	168.12	0.0059480	21.544	24.397	90.011	36.722	58.217	294.55	4.1379	23.266	0.033166	supercritical
140.00	10.933	168.73	0.0059265	21.538	24.389	89.970	36.732	58.285	294.54	4.1337	23.283	0.033200	supercritical
140.00	10.967	169.34	0.0059052	21.531	24.381	89.930	36.741	58.352	294.54	4.1296	23.299	0.033234	supercritical
140.00	11.000	169.95	0.0058840	21.525	24.373	89.890	36.751	58.420	294.53	4.1254	23.316	0.033269	supercritical
140.00	11.033	170.56	0.0058629	21.518	24.365	89.849	36.761	58.488	294.53	4.1212	23.332	0.033303	supercritical
140.00	11.067	171.18	0.0058419	21.512	24.357	89.809	36.770	58.556	294.53	4.1171	23.349	0.033338	supercritical
140.00	11.100	171.79	0.0058211	21.506	24.349	89.769	36.780	58.624	294.52	4.1129	23.365	0.033372	supercritical
140.00	11.133	172.40	0.0058004	21.499	24.341	89.729	36.790	58.692	294.52	4.1087	23.382	0.033407	supercritical
140.00	11.167	173.01	0.0057799	21.493	24.333	89.689	36.799	58.761	294.52	4.1044	23.399	0.033442	supercritical
140.00	11.200	173.63	0.0057594	21.486	24.325	89.649	36.809	58.829	294.52	4.1002	23.416	0.033477	supercritical
140.00	11.233	174.24	0.0057391	21.480	24.317	89.609	36.819	58.898	294.52	4.0960	23.433	0.033512	supercritical
140.00	11.267	174.86	0.0057189	21.473	24.309	89.569	36.828	58.966	294.52	4.0917	23.450	0.033547	supercritical
140.00	11.300	175.47	0.0056989	21.467	24.301	89.529	36.838	59.035	294.52	4.0875	23.467	0.033582	supercritical
140.00	11.333	176.09	0.0056789	21.460	24.293	89.490	36.847	59.103	294.52	4.0832	23.484	0.033618	supercritical
140.00	11.367	176.71	0.0056591	21.454	24.285	89.450	36.857	59.172	294.52	4.0789	23.501	0.033653	supercritical
140.00	11.400	177.32	0.0056394	21.448	24.277	89.411	36.866	59.241	294.52	4.0746	23.518	0.033689	supercritical
140.00	11.433	177.94	0.0056198	21.441	24.269	89.371	36.876	59.310	294.52	4.0703	23.535	0.033724	supercritical
140.00	11.467	178.56	0.0056004	21.435	24.261	89.332	36.886	59.379	294.53	4.0660	23.553	0.033760	supercritical
140.00	11.500	179.18	0.0055810	21.428	24.253	89.292	36.895	59.448	294.53	4.0617	23.570	0.033796	supercritical
140.00	11.533	179.80	0.0055618	21.422	24.245	89.253	36.905	59.517	294.53	4.0573	23.588	0.033831	supercritical
140.00	11.567	180.42	0.0055427	21.415	24.237	89.214	36.914	59.586	294.54	4.0530	23.605	0.033867	supercritical
140.00	11.600	181.04	0.0055237	21.409	24.229	89.175	36.924	59.655	294.54	4.0486	23.623	0.033903	supercritical
140.00	11.633	181.66	0.0055048	21.402	24.221	89.136	36.933	59.724	294.54	4.0442	23.640	0.033939	supercritical
140.00	11.667	182.28	0.0054861	21.396	24.213	89.097	36.943	59.794	294.55	4.0399	23.658	0.033976	supercritical
140.00	11.700	182.90	0.0054674	21.389	24.204	89.058	36.952	59.863	294.56	4.0355	23.676	0.034012	supercritical
140.00	11.733	183.53	0.0054488	21.383	24.196	89.019	36.962	59.933	294.56	4.0311	23.694	0.034048	supercritical
140.00	11.767	184.15	0.0054304	21.376	24.188	88.980	36.971	60.002	294.57	4.0267	23.711	0.034085	supercritical
140.00	11.800	184.77	0.0054121	21.370	24.180	88.941	36.981	60.072	294.58	4.0222	23.729	0.034121	supercritical
140.00	11.833	185.40	0.0053938	21.363	24.172	88.903	36.990	60.142	294.58	4.0178	23.747	0.034158	supercritical
140.00	11.867	186.02	0.0053757	21.357	24.164	88.864	36.999	60.211	294.59	4.0134	23.766	0.034195	supercritical
140.00	11.900	186.65	0.0053577	21.350	24.156	88.826	37.009	60.281	294.60	4.0089	23.784	0.034231	supercritical
140.00	11.933	187.27	0.0053398	21.344	24.148	88.787	37.018	60.351	294.61	4.0044	23.802	0.034268	supercritical
140.00	11.967	187.90	0.0053220	21.337	24.140	88.749	37.028	60.421	294.62	4.0000	23.820	0.034305	supercritical
140.00	12.000	188.53	0.0053043	21.331	24.132	88.710	37.037	60.491	294.63	3.9955	23.838	0.034342	supercritical
140.00	12.033	189.15	0.0052867	21.324	24.124	88.672	37.046	60.561	294.64	3.9910	23.857	0.034380	supercritical
140.00	12.067	189.78	0.0052692	21.318	24.116	88.634	37.056	60.631	294.65	3.9865	23.875	0.034417	supercritical
140.00	12.100	190.41	0.0052518	21.311	24.108	88.596	37.065	60.701	294.66	3.9820	23.894	0.034454	supercritical
140.00	12.133	191.04	0.0052345	21.305	24.100	88.557	37.075	60.772	294.68	3.9774	23.912	0.034492	supercritical
140.00	12.167	191.67	0.0052174	21.298	24.092	88.519	37.084	60.842	294.69	3.9729	23.931	0.034529	supercritical
140.00	12.200	192.30	0.0052003	21.292	24.084	88.481	37.093	60.912	294.70	3.9683	23.950	0.034567	supercritical
140.00	12.233	192.93	0.0051833	21.285	24.076	88.443	37.102	60.983	294.72	3.9638	23.968	0.034604	supercritical
140.00	12.267	193.56	0.0051664	21.278	24.068	88.406	37.112	61.053	294.73	3.9592	23.987	0.034642	supercritical
140.00	12.300	194.19	0.0051496	21.272	24.059	88.368	37.121	61.124	294.75	3.9546	24.006	0.034680	supercritical
140.00	12.333	194.82	0.0051329	21.265	24.051	88.330	37.130	61.194	294.76	3.9500	24.025	0.034718	supercritical
140.00	12.367	195.46	0.0051163	21.259	24.043	88.292	37.140	61.265	294.78	3.9455	24.044	0.034756	supercritical
140.00	12.400	196.09	0.0050997	21.252	24.035	88.255	37.149	61.335	294.79	3.9408	24.063	0.034794	supercritical
140.00	12.433	196.72	0.0050833	21.246	24.027	88.217	37.158	61.406	294.81	3.9362	24.082	0.034832	supercritical
140.00	12.467	197.36	0.0050670	21.239	24.019	88.180	37.167	61.477	294.83	3.9316	24.102	0.034871	supercritical
140.00	12.500	197.99	0.0050507	21.233	24.011	88.142	37.177	61.548	294.85	3.9270	24.121	0.034909	supercritical
140.00	12.533	198.63	0.0050346	21.226	24.003	88.105	37.186	61.618	294.86	3.9223	24.140	0.034948	supercritical
140.00	12.567	199.26	0.0050185	21.219	23.995	88.067	37.195	61.689	294.88	3.9176	24.160	0.034986	supercritical
140.00	12.600	199.90	0.0050026	21.213	23.987	88.030	37.204	61.760	294.90	3.9130	24.179	0.035025	supercritical
140.00	12.633	200.53	0.0049867	21.206	23.979	87.993	37.213	61.831	294.92	3.9083	24.199	0.035064	supercritical
140.00	12.667	201.17	0.0049709	21.200	23.971	87.956	37.222	61.902	294.94	3.9036	24.218	0.035102	supercritical
140.00	12.700	201.81	0.0049552	21.193	23.963	87.918	37.232	61.973	294.96	3.8989	24.238	0.035141	supercritical
140.00	12.733	202.45	0.0049396	21.187	23.955	87.881	37.241	62.044	294.99	3.8942	24.258	0.035180	supercritical
140.00	12.767	203.08	0.0049241	21.180	23.947	87.844	37.250	62.115	295.01	3.8895	24.277	0.035219	supercritical
140.00	12.800	203.72	0.0049086	21.173	23.939	87.807	37.259	62.187	295.03	3.8848	24.297	0.035259	supercritical
140.00	12.833	204.36	0.0048933	21.167	23.931	87.771	37.268	62.258	295.05	3.8800	24.317	0.035298	supercritical
140.00	12.867	205.00	0.0048780	21.160	23.923	87.734	37.277	62.329	295.08	3.8753	24.337	0.035337	supercritical
140.00	12.900	205.64	0.0048628	21.154	23.914	87.697	37.286	62.400	295.10	3.8705	24.357	0.035377	supercritical
140.00	12.933	206.28	0.0048477	21.147	23.906	87.660	37.295	62.471	295.13	3.8657	24.377	0.035416	supercritical
140.00	12.967	206.93	0.0048327	21.141	23.898	87.624	37.304	62.543	295.15	3.8610	24.398	0.035456	supercritical
140.00	13.000	207.57	0.0048177	21.134	23.890	87.587	37.313	62.614	295.18	3.8562	24.418	0.035495	supercritical
140.00	13.033	208.21	0.0048029	21.127	23.882	87.550	37.322	62.685	295.21	3.8514	24.438	0.035535	supercritical
140.00	13.067	208.85	0.0047881	21.121	23.874	87.514	37.331	62.757	295.23	3.8466	24.459	0.035575	supercritical
140.00	13.100	209.50	0.0047734	21.114	23.866	87.477	37.340	62.828	295.26	3.8418	24.479	0.035615	supercritical
140.00	13.133	210.14	0.0047588	21.108	23.858	87.441	37.349	62.900	295.29	3.8370	24.500	0.035655	supercritical
140.00	13.167	210.78	0.0047442	21.101	23.850	87.405	37.358	62.971	295.32	3.8321	24.520	0.035695	supercritical
140.00	13.200	211.43	0.0047298	21.094	23.842	87.368	37.367	63.043	295.35	3.8273	24.541	0.035736	supercritical
140.00	13.233	212.07	0.0047154	21.088	23.834	87.332	37.376	63.114	295.38	3.8224	24.561	0.035776	supercritical
140.00	13.267	212.72	0.0047011	21.081	23.826	87.296	37.385	63.186	295.41	3.8176	24.582	0.035816	supercritical
140.00	13.300	213.36	0.0046868	21.075	23.818	87.260	37.394	63.257	295.44	3.8127	24.603	0.035857	supercritical
140.00	13.333	214.01	0.0046727	21.068	23.810	87.224	37.403	63.329	295.47	3.8078	24.624	0.035897	supercritical
140.00	13.367	214.66	0.0046586	21.061	23.802	87.188	37.412	63.400	295.50	3.8029	24.645	0.035938	supercritical
140.00	13.400	215.30	0.0046446	21.055	23.794	87.152	37.420	63.472	295.53	3.7980	24.666	0.035979	supercritical
140.00	13.433	215.95	0.0046307	21.048	23.786	87.116	37.429	63.544	295.57	3.7931	24.687	0.036020	supercritical
140.00	13.467	216.60	0.0046168	21.042	23.778	87.080	37.438	63.615	295.60	3.7882	24.708	0.036060	supercritical
140.00	13.500	217.25	0.0046030	21.035	23.770	87.044	37.447	63.687	295.63	3.7833	24.730	0.036101	supercritical
140.00	13.533	217.90	0.0045893	21.028	23.762	87.008	37.456	63.759	295.67	3.7784	24.751	0.036143	supercritical
140.00	13.567	218.55	0.0045757	21.022	23.754	86.973	37.464	63.830	295.70	3.7734	24.772	0.036184	supercritical
140.00	13.600	219.20	0.0045621	21.015	23.746	86.937	37.473	63.902	295.74	3.7685	24.794	0.036225	supercritical
140.00	13.633	219.85	0.0045487	21.008	23.738	86.902	37.482	63.974	295.78	3.7635	24.815	0.036266	supercritical
140.00	13.667	220.50	0.0045352	21.002	23.730	86.866	37.491	64.045	295.81	3.7586	24.837	0.036308	supercritical
140.00	13.700	221.15	0.0045219	20.995	23.722	86.830	37.499	64.117	295.85	3.7536	24.859	0.036349	supercritical
140.00	13.733	221.80	0.0045086	20.989	23.714	86.795	37.508	64.189	295.89	3.7486	24.880	0.036391	supercritical
140.00	13.767	222.45	0.0044954	20.982	23.705	86.760	37.517	64.261	295.93	3.7436	24.902	0.036432	supercritical
140.00	13.800	223.10	0.0044823	20.975	23.697	86.724	37.526	64.332	295.97	3.7386	24.924	0.036474	supercritical
140.00	13.833	223.75	0.0044692	20.969	23.689	86.689	37.534	64.404	296.01	3.7336	24.946	0.036516	supercritical
140.00	13.867	224.41	0.0044562	20.962	23.681	86.654	37.543	64.476	296.05	3.7286	24.968	0.036558	supercritical
140.00	13.900	225.06	0.0044432	20.955	23.673	86.619	37.551	64.547	296.09	3.7236	24.990	0.036600	supercritical
140.00	13.933	225.71	0.0044304	20.949	23.665	86.583	37.560	64.619	296.13	3.7185	25.012	0.036642	supercritical
140.00	13.967	226.37	0.0044176	20.942	23.657	86.548	37.569	64.691	296.17	3.7135	25.035	0.036684	supercritical
140.00	14.000	227.02	0.0044048	20.935	23.649	86.513	37.577	64.763	296.22	3.7085	25.057	0.036726	supercritical
140.00	14.033	227.68	0.0043922	20.929	23.641	86.478	37.586	64.834	296.26	3.7034	25.079	0.036769	supercritical
140.00	14.067	228.33	0.0043796	20.922	23.633	86.443	37.594	64.906	296.30	3.6983	25.102	0.036811	supercritical
140.00	14.100	228.99	0.0043670	20.916	23.625	86.408	37.603	64.978	296.35	3.6933	25.124	0.036854	supercritical
140.00	14.133	229.65	0.0043545	20.909	23.617	86.374	37.611	65.049	296.39	3.6882	25.147	0.036896	supercritical
140.00	14.167	230.30	0.0043421	20.902	23.609	86.339	37.620	65.121	296.44	3.6831	25.169	0.036939	supercritical
140.00	14.200	230.96	0.0043298	20.896	23.601	86.304	37.628	65.193	296.49	3.6780	25.192	0.036982	supercritical
140.00	14.233	231.62	0.0043175	20.889	23.593	86.269	37.637	65.264	296.53	3.6729	25.215	0.037024	supercritical
140.00	14.267	232.27	0.0043053	20.882	23.585	86.235	37.645	65.336	296.58	3.6678	25.238	0.037067	supercritical
140.00	14.300	232.93	0.0042931	20.876	23.577	86.200	37.654	65.407	296.63	3.6627	25.261	0.037110	supercritical
140.00	14.333	233.59	0.0042810	20.869	23.569	86.166	37.662	65.479	296.68	3.6575	25.284	0.037153	supercritical
140.00	14.367	234.25	0.0042690	20.862	23.561	86.131	37.671	65.550	296.73	3.6524	25.307	0.037196	supercritical
140.00	14.400	234.91	0.0042570	20.856	23.554	86.097	37.679	65.622	296.78	3.6473	25.330	0.037240	supercritical
140.00	14.433	235.57	0.0042451	20.849	23.546	86.062	37.687	65.693	296.83	3.6421	25.353	0.037283	supercritical
140.00	14.467	236.23	0.0042332	20.842	23.538	86.028	37.696	65.765	296.88	3.6370	25.376	0.037326	supercritical
140.00	14.500	236.89	0.0042214	20.836	23.530	85.994	37.704	65.836	296.93	3.6318	25.399	0.037370	supercritical
140.00	14.533	237.55	0.0042097	20.829	23.522	85.959	37.712	65.908	296.98	3.6266	25.423	0.037413	supercritical
140.00	14.567	238.21	0.0041980	20.822	23.514	85.925	37.721	65.979	297.04	3.6215	25.446	0.037457	supercritical
140.00	14.600	238.87	0.0041864	20.816	23.506	85.891	37.729	66.051	297.09	3.6163	25.470	0.037501	supercritical
140.00	14.633	239.53	0.0041749	20.809	23.498	85.857	37.737	66.122	297.15	3.6111	25.494	0.037544	supercritical
140.00	14.667	240.19	0.0041634	20.802	23.490	85.823	37.745	66.193	297.20	3.6059	25.517	0.037588	supercritical
140.00	14.700	240.85	0.0041519	20.796	23.482	85.789	37.754	66.265	297.26	3.6007	25.541	0.037632	supercritical
140.00	14.733	241.52	0.0041405	20.789	23.474	85.755	37.762	66.336	297.31	3.5955	25.565	0.037676	supercritical
140.00	14.767	242.18	0.0041292	20.782	23.466	85.721	37.770	66.407	297.37	3.5902	25.589	0.037720	supercritical
