Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
70.000	10.000	247.77	0.0040360	18.057	19.833	78.354	39.186	97.755	241.62	6.2095	22.350	0.035571	supercritical
70.000	10.033	249.20	0.0040128	18.041	19.813	78.278	39.223	98.281	241.56	6.1935	22.403	0.035705	supercritical
70.000	10.067	250.63	0.0039899	18.025	19.793	78.202	39.260	98.812	241.51	6.1774	22.457	0.035839	supercritical
70.000	10.100	252.08	0.0039670	18.009	19.772	78.125	39.297	99.346	241.45	6.1612	22.511	0.035974	supercritical
70.000	10.133	253.53	0.0039444	17.993	19.752	78.049	39.334	99.884	241.40	6.1448	22.565	0.036110	supercritical
70.000	10.167	254.98	0.0039218	17.976	19.731	77.972	39.371	100.43	241.35	6.1283	22.621	0.036247	supercritical
70.000	10.200	256.44	0.0038995	17.960	19.711	77.896	39.408	100.97	241.31	6.1117	22.676	0.036385	supercritical
70.000	10.233	257.92	0.0038772	17.944	19.690	77.819	39.444	101.52	241.26	6.0949	22.733	0.036523	supercritical
70.000	10.267	259.39	0.0038552	17.928	19.669	77.742	39.481	102.07	241.22	6.0780	22.790	0.036663	supercritical
70.000	10.300	260.88	0.0038332	17.911	19.649	77.666	39.518	102.63	241.18	6.0610	22.848	0.036804	supercritical
70.000	10.333	262.37	0.0038114	17.895	19.628	77.589	39.555	103.19	241.15	6.0438	22.906	0.036945	supercritical
70.000	10.367	263.87	0.0037898	17.878	19.607	77.512	39.591	103.76	241.11	6.0266	22.965	0.037088	supercritical
70.000	10.400	265.37	0.0037683	17.862	19.586	77.435	39.628	104.32	241.08	6.0091	23.024	0.037231	supercritical
70.000	10.433	266.89	0.0037469	17.845	19.565	77.358	39.664	104.90	241.05	5.9916	23.084	0.037375	supercritical
70.000	10.467	268.41	0.0037257	17.828	19.544	77.281	39.700	105.47	241.03	5.9739	23.145	0.037521	supercritical
70.000	10.500	269.94	0.0037046	17.811	19.523	77.203	39.737	106.05	241.00	5.9560	23.206	0.037667	supercritical
70.000	10.533	271.47	0.0036836	17.795	19.502	77.126	39.773	106.63	240.98	5.9381	23.268	0.037814	supercritical
70.000	10.567	273.01	0.0036628	17.778	19.481	77.049	39.809	107.21	240.96	5.9200	23.331	0.037961	supercritical
70.000	10.600	274.56	0.0036421	17.761	19.460	76.972	39.845	107.80	240.95	5.9018	23.394	0.038110	supercritical
70.000	10.633	276.12	0.0036216	17.744	19.439	76.894	39.881	108.39	240.93	5.8834	23.458	0.038259	supercritical
70.000	10.667	277.69	0.0036012	17.727	19.417	76.817	39.917	108.99	240.93	5.8649	23.522	0.038410	supercritical
70.000	10.700	279.26	0.0035809	17.710	19.396	76.739	39.953	109.58	240.92	5.8463	23.587	0.038561	supercritical
70.000	10.733	280.84	0.0035608	17.693	19.375	76.662	39.989	110.18	240.92	5.8275	23.653	0.038713	supercritical
70.000	10.767	282.42	0.0035408	17.676	19.353	76.584	40.024	110.78	240.92	5.8086	23.720	0.038866	supercritical
70.000	10.800	284.02	0.0035209	17.658	19.332	76.506	40.060	111.39	240.92	5.7896	23.787	0.039019	supercritical
70.000	10.833	285.62	0.0035012	17.641	19.310	76.429	40.095	112.00	240.92	5.7704	23.855	0.039174	supercritical
70.000	10.867	287.22	0.0034816	17.624	19.289	76.351	40.130	112.61	240.93	5.7511	23.924	0.039329	supercritical
70.000	10.900	288.84	0.0034621	17.606	19.267	76.273	40.165	113.22	240.95	5.7317	23.993	0.039485	supercritical
70.000	10.933	290.46	0.0034428	17.589	19.246	76.195	40.200	113.83	240.96	5.7122	24.063	0.039641	supercritical
70.000	10.967	292.09	0.0034236	17.571	19.224	76.117	40.235	114.45	240.98	5.6925	24.134	0.039799	supercritical
