Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
190.00	10.000	126.01	0.0079359	23.818	27.311	97.301	36.980	52.253	320.98	3.2400	24.483	0.034729	supercritical
190.00	10.033	126.47	0.0079072	23.814	27.305	97.264	36.986	52.287	320.98	3.2376	24.493	0.034749	supercritical
190.00	10.067	126.92	0.0078787	23.809	27.300	97.227	36.991	52.321	320.98	3.2352	24.504	0.034769	supercritical
190.00	10.100	127.38	0.0078504	23.804	27.294	97.189	36.997	52.355	320.99	3.2329	24.514	0.034790	supercritical
190.00	10.133	127.84	0.0078223	23.800	27.288	97.152	37.003	52.389	320.99	3.2305	24.524	0.034810	supercritical
190.00	10.167	128.30	0.0077944	23.795	27.283	97.116	37.009	52.423	320.99	3.2281	24.535	0.034831	supercritical
190.00	10.200	128.76	0.0077666	23.791	27.277	97.079	37.015	52.457	321.00	3.2257	24.545	0.034851	supercritical
190.00	10.233	129.21	0.0077390	23.786	27.271	97.042	37.020	52.491	321.00	3.2234	24.556	0.034872	supercritical
190.00	10.267	129.67	0.0077117	23.781	27.266	97.005	37.026	52.525	321.01	3.2210	24.566	0.034892	supercritical
190.00	10.300	130.13	0.0076845	23.777	27.260	96.969	37.032	52.559	321.01	3.2186	24.576	0.034913	supercritical
190.00	10.333	130.59	0.0076574	23.772	27.254	96.932	37.038	52.593	321.02	3.2162	24.587	0.034933	supercritical
190.00	10.367	131.05	0.0076306	23.767	27.249	96.896	37.043	52.628	321.02	3.2138	24.597	0.034954	supercritical
190.00	10.400	131.51	0.0076039	23.763	27.243	96.860	37.049	52.662	321.03	3.2114	24.608	0.034975	supercritical
190.00	10.433	131.97	0.0075774	23.758	27.238	96.823	37.055	52.696	321.03	3.2089	24.619	0.034995	supercritical
190.00	10.467	132.43	0.0075511	23.754	27.232	96.787	37.061	52.730	321.04	3.2065	24.629	0.035016	supercritical
190.00	10.500	132.89	0.0075250	23.749	27.226	96.751	37.067	52.764	321.05	3.2041	24.640	0.035037	supercritical
190.00	10.533	133.35	0.0074990	23.744	27.221	96.715	37.072	52.799	321.05	3.2017	24.651	0.035058	supercritical
190.00	10.567	133.81	0.0074732	23.740	27.215	96.679	37.078	52.833	321.06	3.1993	24.661	0.035078	supercritical
190.00	10.600	134.27	0.0074475	23.735	27.209	96.644	37.084	52.867	321.07	3.1968	24.672	0.035099	supercritical
190.00	10.633	134.73	0.0074220	23.730	27.204	96.608	37.090	52.902	321.07	3.1944	24.683	0.035120	supercritical
190.00	10.667	135.20	0.0073967	23.726	27.198	96.572	37.095	52.936	321.08	3.1919	24.693	0.035141	supercritical
190.00	10.700	135.66	0.0073715	23.721	27.192	96.537	37.101	52.970	321.09	3.1895	24.704	0.035162	supercritical
190.00	10.733	136.12	0.0073465	23.717	27.187	96.501	37.107	53.005	321.10	3.1870	24.715	0.035183	supercritical
190.00	10.767	136.58	0.0073217	23.712	27.181	96.466	37.112	53.039	321.11	3.1846	24.726	0.035204	supercritical
190.00	10.800	137.04	0.0072970	23.707	27.176	96.431	37.118	53.074	321.11	3.1821	24.737	0.035225	supercritical
190.00	10.833	137.51	0.0072725	23.703	27.170	96.395	37.124	53.108	321.12	3.1797	24.748	0.035246	supercritical
190.00	10.867	137.97	0.0072481	23.698	27.164	96.360	37.130	53.142	321.13	3.1772	24.759	0.035268	supercritical
190.00	10.900	138.43	0.0072238	23.693	27.159	96.325	37.135	53.177	321.14	3.1747	24.770	0.035289	supercritical
190.00	10.933	138.89	0.0071998	23.689	27.153	96.290	37.141	53.211	321.15	3.1723	24.781	0.035310	supercritical
190.00	10.967	139.36	0.0071758	23.684	27.147	96.255	37.147	53.246	321.16	3.1698	24.792	0.035331	supercritical
190.00	11.000	139.82	0.0071521	23.679	27.142	96.220	37.152	53.280	321.17	3.1673	24.803	0.035352	supercritical
190.00	11.033	140.28	0.0071284	23.675	27.136	96.186	37.158	53.315	321.18	3.1648	24.814	0.035374	supercritical
190.00	11.067	140.75	0.0071049	23.670	27.131	96.151	37.164	53.349	321.19	3.1623	24.825	0.035395	supercritical
190.00	11.100	141.21	0.0070816	23.666	27.125	96.116	37.170	53.384	321.20	3.1598	24.836	0.035416	supercritical
190.00	11.133	141.68	0.0070584	23.661	27.119	96.082	37.175	53.419	321.21	3.1573	24.847	0.035438	supercritical
190.00	11.167	142.14	0.0070353	23.656	27.114	96.047	37.181	53.453	321.23	3.1548	24.858	0.035459	supercritical
190.00	11.200	142.60	0.0070124	23.652	27.108	96.013	37.187	53.488	321.24	3.1523	24.869	0.035481	supercritical
190.00	11.233	143.07	0.0069896	23.647	27.102	95.979	37.192	53.522	321.25	3.1498	24.881	0.035502	supercritical
190.00	11.267	143.53	0.0069670	23.642	27.097	95.944	37.198	53.557	321.26	3.1473	24.892	0.035524	supercritical
190.00	11.300	144.00	0.0069445	23.638	27.091	95.910	37.204	53.592	321.27	3.1448	24.903	0.035545	supercritical
190.00	11.333	144.46	0.0069221	23.633	27.086	95.876	37.209	53.626	321.29	3.1422	24.914	0.035567	supercritical
190.00	11.367	144.93	0.0068999	23.628	27.080	95.842	37.215	53.661	321.30	3.1397	24.926	0.035589	supercritical
190.00	11.400	145.40	0.0068778	23.624	27.074	95.808	37.221	53.696	321.31	3.1372	24.937	0.035610	supercritical
190.00	11.433	145.86	0.0068558	23.619	27.069	95.774	37.226	53.731	321.33	3.1346	24.949	0.035632	supercritical
190.00	11.467	146.33	0.0068340	23.614	27.063	95.740	37.232	53.765	321.34	3.1321	24.960	0.035654	supercritical
190.00	11.500	146.79	0.0068123	23.610	27.058	95.707	37.238	53.800	321.35	3.1295	24.971	0.035676	supercritical
190.00	11.533	147.26	0.0067907	23.605	27.052	95.673	37.243	53.835	321.37	3.1270	24.983	0.035698	supercritical
190.00	11.567	147.73	0.0067693	23.600	27.046	95.640	37.249	53.870	321.38	3.1244	24.994	0.035719	supercritical
190.00	11.600	148.19	0.0067479	23.596	27.041	95.606	37.254	53.904	321.40	3.1219	25.006	0.035741	supercritical
190.00	11.633	148.66	0.0067267	23.591	27.035	95.573	37.260	53.939	321.41	3.1193	25.017	0.035763	supercritical
190.00	11.667	149.13	0.0067057	23.586	27.029	95.539	37.266	53.974	321.43	3.1168	25.029	0.035785	supercritical
190.00	11.700	149.59	0.0066847	23.582	27.024	95.506	37.271	54.009	321.44	3.1142	25.041	0.035807	supercritical
190.00	11.733	150.06	0.0066639	23.577	27.018	95.473	37.277	54.044	321.46	3.1116	25.052	0.035829	supercritical
190.00	11.767	150.53	0.0066432	23.572	27.013	95.439	37.283	54.079	321.48	3.1090	25.064	0.035851	supercritical
190.00	11.800	151.00	0.0066226	23.568	27.007	95.406	37.288	54.113	321.49	3.1065	25.076	0.035873	supercritical
190.00	11.833	151.47	0.0066021	23.563	27.001	95.373	37.294	54.148	321.51	3.1039	25.087	0.035896	supercritical
190.00	11.867	151.93	0.0065818	23.559	26.996	95.340	37.299	54.183	321.53	3.1013	25.099	0.035918	supercritical
190.00	11.900	152.40	0.0065615	23.554	26.990	95.307	37.305	54.218	321.54	3.0987	25.111	0.035940	supercritical
190.00	11.933	152.87	0.0065414	23.549	26.985	95.275	37.310	54.253	321.56	3.0961	25.123	0.035962	supercritical
190.00	11.967	153.34	0.0065214	23.545	26.979	95.242	37.316	54.288	321.58	3.0935	25.135	0.035985	supercritical
190.00	12.000	153.81	0.0065015	23.540	26.973	95.209	37.322	54.323	321.60	3.0909	25.147	0.036007	supercritical
190.00	12.033	154.28	0.0064818	23.535	26.968	95.176	37.327	54.358	321.61	3.0883	25.158	0.036029	supercritical
190.00	12.067	154.75	0.0064621	23.531	26.962	95.144	37.333	54.393	321.63	3.0857	25.170	0.036052	supercritical
190.00	12.100	155.22	0.0064426	23.526	26.957	95.111	37.338	54.428	321.65	3.0831	25.182	0.036074	supercritical
190.00	12.133	155.69	0.0064231	23.521	26.951	95.079	37.344	54.463	321.67	3.0804	25.194	0.036096	supercritical
190.00	12.167	156.16	0.0064038	23.517	26.945	95.046	37.349	54.498	321.69	3.0778	25.206	0.036119	supercritical
190.00	12.200	156.63	0.0063846	23.512	26.940	95.014	37.355	54.533	321.71	3.0752	25.218	0.036141	supercritical
190.00	12.233	157.10	0.0063655	23.507	26.934	94.982	37.361	54.568	321.73	3.0726	25.230	0.036164	supercritical
190.00	12.267	157.57	0.0063465	23.503	26.929	94.950	37.366	54.603	321.75	3.0699	25.242	0.036187	supercritical
190.00	12.300	158.04	0.0063276	23.498	26.923	94.918	37.372	54.638	321.77	3.0673	25.255	0.036209	supercritical
190.00	12.333	158.51	0.0063088	23.493	26.918	94.885	37.377	54.673	321.79	3.0647	25.267	0.036232	supercritical
190.00	12.367	158.98	0.0062901	23.489	26.912	94.853	37.383	54.708	321.81	3.0620	25.279	0.036255	supercritical
190.00	12.400	159.45	0.0062715	23.484	26.906	94.822	37.388	54.743	321.83	3.0594	25.291	0.036277	supercritical
190.00	12.433	159.92	0.0062530	23.479	26.901	94.790	37.394	54.778	321.85	3.0567	25.303	0.036300	supercritical
190.00	12.467	160.39	0.0062346	23.475	26.895	94.758	37.399	54.813	321.88	3.0540	25.316	0.036323	supercritical
190.00	12.500	160.87	0.0062164	23.470	26.890	94.726	37.405	54.848	321.90	3.0514	25.328	0.036346	supercritical
190.00	12.533	161.34	0.0061982	23.465	26.884	94.694	37.410	54.883	321.92	3.0487	25.340	0.036369	supercritical
190.00	12.567	161.81	0.0061801	23.461	26.878	94.663	37.416	54.918	321.94	3.0461	25.353	0.036392	supercritical
190.00	12.600	162.28	0.0061621	23.456	26.873	94.631	37.421	54.953	321.97	3.0434	25.365	0.036415	supercritical
190.00	12.633	162.75	0.0061442	23.451	26.867	94.600	37.427	54.988	321.99	3.0407	25.377	0.036438	supercritical
190.00	12.667	163.23	0.0061265	23.447	26.862	94.568	37.432	55.023	322.01	3.0380	25.390	0.036461	supercritical
190.00	12.700	163.70	0.0061088	23.442	26.856	94.537	37.438	55.058	322.04	3.0353	25.402	0.036484	supercritical
190.00	12.733	164.17	0.0060912	23.437	26.851	94.505	37.443	55.094	322.06	3.0327	25.415	0.036507	supercritical
190.00	12.767	164.64	0.0060737	23.433	26.845	94.474	37.449	55.129	322.09	3.0300	25.427	0.036530	supercritical
190.00	12.800	165.12	0.0060563	23.428	26.839	94.443	37.454	55.164	322.11	3.0273	25.440	0.036553	supercritical
190.00	12.833	165.59	0.0060390	23.423	26.834	94.412	37.460	55.199	322.13	3.0246	25.453	0.036576	supercritical
190.00	12.867	166.06	0.0060217	23.418	26.828	94.381	37.465	55.234	322.16	3.0219	25.465	0.036599	supercritical
190.00	12.900	166.54	0.0060046	23.414	26.823	94.350	37.470	55.269	322.19	3.0192	25.478	0.036623	supercritical
190.00	12.933	167.01	0.0059876	23.409	26.817	94.319	37.476	55.304	322.21	3.0165	25.491	0.036646	supercritical
190.00	12.967	167.49	0.0059707	23.404	26.812	94.288	37.481	55.339	322.24	3.0137	25.503	0.036669	supercritical
190.00	13.000	167.96	0.0059538	23.400	26.806	94.257	37.487	55.375	322.26	3.0110	25.516	0.036693	supercritical
190.00	13.033	168.43	0.0059370	23.395	26.801	94.226	37.492	55.410	322.29	3.0083	25.529	0.036716	supercritical
190.00	13.067	168.91	0.0059204	23.390	26.795	94.195	37.498	55.445	322.32	3.0056	25.542	0.036740	supercritical
190.00	13.100	169.38	0.0059038	23.386	26.789	94.164	37.503	55.480	322.34	3.0029	25.554	0.036763	supercritical
190.00	13.133	169.86	0.0058873	23.381	26.784	94.134	37.508	55.515	322.37	3.0001	25.567	0.036787	supercritical
190.00	13.167	170.33	0.0058709	23.376	26.778	94.103	37.514	55.550	322.40	2.9974	25.580	0.036810	supercritical
190.00	13.200	170.81	0.0058545	23.372	26.773	94.073	37.519	55.586	322.43	2.9947	25.593	0.036834	supercritical
190.00	13.233	171.28	0.0058383	23.367	26.767	94.042	37.525	55.621	322.46	2.9919	25.606	0.036857	supercritical
190.00	13.267	171.76	0.0058222	23.362	26.762	94.012	37.530	55.656	322.48	2.9892	25.619	0.036881	supercritical
190.00	13.300	172.23	0.0058061	23.358	26.756	93.981	37.535	55.691	322.51	2.9864	25.632	0.036905	supercritical
190.00	13.333	172.71	0.0057901	23.353	26.751	93.951	37.541	55.726	322.54	2.9837	25.645	0.036928	supercritical
190.00	13.367	173.18	0.0057742	23.348	26.745	93.921	37.546	55.761	322.57	2.9809	25.658	0.036952	supercritical
190.00	13.400	173.66	0.0057584	23.344	26.740	93.890	37.551	55.797	322.60	2.9782	25.671	0.036976	supercritical
190.00	13.433	174.14	0.0057426	23.339	26.734	93.860	37.557	55.832	322.63	2.9754	25.684	0.037000	supercritical
190.00	13.467	174.61	0.0057270	23.334	26.728	93.830	37.562	55.867	322.66	2.9726	25.697	0.037024	supercritical
190.00	13.500	175.09	0.0057114	23.330	26.723	93.800	37.568	55.902	322.69	2.9699	25.711	0.037048	supercritical
190.00	13.533	175.57	0.0056959	23.325	26.717	93.770	37.573	55.937	322.72	2.9671	25.724	0.037071	supercritical
190.00	13.567	176.04	0.0056805	23.320	26.712	93.740	37.578	55.972	322.76	2.9643	25.737	0.037095	supercritical
190.00	13.600	176.52	0.0056651	23.316	26.706	93.710	37.584	56.008	322.79	2.9615	25.750	0.037119	supercritical
190.00	13.633	177.00	0.0056499	23.311	26.701	93.680	37.589	56.043	322.82	2.9588	25.764	0.037143	supercritical
190.00	13.667	177.47	0.0056347	23.306	26.695	93.650	37.594	56.078	322.85	2.9560	25.777	0.037168	supercritical
190.00	13.700	177.95	0.0056196	23.302	26.690	93.621	37.600	56.113	322.88	2.9532	25.790	0.037192	supercritical
190.00	13.733	178.43	0.0056046	23.297	26.684	93.591	37.605	56.148	322.92	2.9504	25.804	0.037216	supercritical
190.00	13.767	178.90	0.0055896	23.292	26.679	93.561	37.610	56.184	322.95	2.9476	25.817	0.037240	supercritical
190.00	13.800	179.38	0.0055747	23.287	26.673	93.532	37.615	56.219	322.98	2.9448	25.831	0.037264	supercritical
190.00	13.833	179.86	0.0055599	23.283	26.668	93.502	37.621	56.254	323.02	2.9420	25.844	0.037289	supercritical
190.00	13.867	180.34	0.0055452	23.278	26.662	93.473	37.626	56.289	323.05	2.9392	25.857	0.037313	supercritical
190.00	13.900	180.81	0.0055305	23.273	26.657	93.443	37.631	56.324	323.08	2.9364	25.871	0.037337	supercritical
190.00	13.933	181.29	0.0055159	23.269	26.651	93.414	37.637	56.359	323.12	2.9336	25.885	0.037361	supercritical
190.00	13.967	181.77	0.0055014	23.264	26.646	93.385	37.642	56.395	323.15	2.9308	25.898	0.037386	supercritical
190.00	14.000	182.25	0.0054870	23.259	26.640	93.355	37.647	56.430	323.19	2.9280	25.912	0.037410	supercritical
190.00	14.033	182.73	0.0054726	23.255	26.635	93.326	37.652	56.465	323.22	2.9251	25.925	0.037435	supercritical
190.00	14.067	183.21	0.0054583	23.250	26.629	93.297	37.658	56.500	323.26	2.9223	25.939	0.037459	supercritical
190.00	14.100	183.68	0.0054441	23.245	26.624	93.268	37.663	56.535	323.29	2.9195	25.953	0.037484	supercritical
190.00	14.133	184.16	0.0054300	23.241	26.618	93.239	37.668	56.570	323.33	2.9167	25.967	0.037508	supercritical
190.00	14.167	184.64	0.0054159	23.236	26.613	93.210	37.673	56.605	323.37	2.9138	25.980	0.037533	supercritical
190.00	14.200	185.12	0.0054019	23.231	26.607	93.181	37.679	56.641	323.40	2.9110	25.994	0.037558	supercritical
190.00	14.233	185.60	0.0053879	23.227	26.602	93.152	37.684	56.676	323.44	2.9082	26.008	0.037582	supercritical
190.00	14.267	186.08	0.0053740	23.222	26.596	93.123	37.689	56.711	323.48	2.9053	26.022	0.037607	supercritical
190.00	14.300	186.56	0.0053602	23.217	26.591	93.094	37.694	56.746	323.52	2.9025	26.036	0.037632	supercritical
190.00	14.333	187.04	0.0053465	23.213	26.585	93.065	37.700	56.781	323.55	2.8996	26.050	0.037657	supercritical
190.00	14.367	187.52	0.0053328	23.208	26.580	93.036	37.705	56.816	323.59	2.8968	26.064	0.037681	supercritical
190.00	14.400	188.00	0.0053192	23.203	26.574	93.008	37.710	56.851	323.63	2.8939	26.078	0.037706	supercritical
190.00	14.433	188.48	0.0053057	23.198	26.569	92.979	37.715	56.886	323.67	2.8911	26.092	0.037731	supercritical
190.00	14.467	188.96	0.0052922	23.194	26.563	92.950	37.720	56.921	323.71	2.8882	26.106	0.037756	supercritical
190.00	14.500	189.44	0.0052788	23.189	26.558	92.922	37.725	56.956	323.75	2.8853	26.120	0.037781	supercritical
190.00	14.533	189.92	0.0052654	23.184	26.552	92.893	37.731	56.991	323.79	2.8825	26.134	0.037806	supercritical
190.00	14.567	190.40	0.0052521	23.180	26.547	92.865	37.736	57.027	323.83	2.8796	26.148	0.037831	supercritical
190.00	14.600	190.88	0.0052389	23.175	26.541	92.836	37.741	57.062	323.87	2.8767	26.162	0.037856	supercritical
190.00	14.633	191.36	0.0052258	23.170	26.536	92.808	37.746	57.097	323.91	2.8739	26.177	0.037881	supercritical
190.00	14.667	191.84	0.0052127	23.166	26.530	92.780	37.751	57.132	323.95	2.8710	26.191	0.037906	supercritical
190.00	14.700	192.32	0.0051996	23.161	26.525	92.751	37.756	57.167	323.99	2.8681	26.205	0.037932	supercritical
190.00	14.733	192.80	0.0051867	23.156	26.519	92.723	37.762	57.202	324.03	2.8652	26.219	0.037957	supercritical
190.00	14.767	193.28	0.0051738	23.152	26.514	92.695	37.767	57.237	324.08	2.8623	26.234	0.037982	supercritical
190.00	14.800	193.76	0.0051609	23.147	26.508	92.667	37.772	57.272	324.12	2.8594	26.248	0.038007	supercritical
190.00	14.833	194.24	0.0051481	23.142	26.503	92.639	37.777	57.307	324.16	2.8566	26.262	0.038033	supercritical
190.00	14.867	194.73	0.0051354	23.138	26.498	92.610	37.782	57.342	324.20	2.8537	26.277	0.038058	supercritical
190.00	14.900	195.21	0.0051228	23.133	26.492	92.582	37.787	57.377	324.25	2.8508	26.291	0.038083	supercritical
190.00	14.933	195.69	0.0051101	23.128	26.487	92.554	37.792	57.412	324.29	2.8479	26.306	0.038109	supercritical
190.00	14.967	196.17	0.0050976	23.124	26.481	92.527	37.797	57.447	324.33	2.8450	26.320	0.038134	supercritical
190.00	15.000	196.65	0.0050851	23.119	26.476	92.499	37.802	57.482	324.38	2.8421	26.335	0.038160	supercritical
190.00	15.033	197.13	0.0050727	23.114	26.470	92.471	37.808	57.516	324.42	2.8392	26.349	0.038185	supercritical
190.00	15.067	197.62	0.0050603	23.109	26.465	92.443	37.813	57.551	324.47	2.8362	26.364	0.038211	supercritical
190.00	15.100	198.10	0.0050480	23.105	26.459	92.415	37.818	57.586	324.51	2.8333	26.379	0.038236	supercritical
190.00	15.133	198.58	0.0050358	23.100	26.454	92.388	37.823	57.621	324.56	2.8304	26.393	0.038262	supercritical
190.00	15.167	199.06	0.0050236	23.095	26.449	92.360	37.828	57.656	324.60	2.8275	26.408	0.038288	supercritical
190.00	15.200	199.54	0.0050114	23.091	26.443	92.332	37.833	57.691	324.65	2.8246	26.423	0.038313	supercritical
190.00	15.233	200.03	0.0049993	23.086	26.438	92.305	37.838	57.726	324.70	2.8217	26.438	0.038339	supercritical
190.00	15.267	200.51	0.0049873	23.081	26.432	92.277	37.843	57.761	324.74	2.8187	26.452	0.038365	supercritical
190.00	15.300	200.99	0.0049753	23.077	26.427	92.250	37.848	57.795	324.79	2.8158	26.467	0.038391	supercritical
190.00	15.333	201.47	0.0049634	23.072	26.421	92.222	37.853	57.830	324.84	2.8129	26.482	0.038417	supercritical
190.00	15.367	201.96	0.0049516	23.067	26.416	92.195	37.858	57.865	324.88	2.8099	26.497	0.038443	supercritical
190.00	15.400	202.44	0.0049398	23.063	26.411	92.167	37.863	57.900	324.93	2.8070	26.512	0.038468	supercritical
190.00	15.433	202.92	0.0049280	23.058	26.405	92.140	37.868	57.935	324.98	2.8041	26.527	0.038494	supercritical
190.00	15.467	203.41	0.0049163	23.053	26.400	92.113	37.873	57.969	325.03	2.8011	26.542	0.038520	supercritical
190.00	15.500	203.89	0.0049047	23.049	26.394	92.086	37.878	58.004	325.08	2.7982	26.557	0.038546	supercritical
190.00	15.533	204.37	0.0048931	23.044	26.389	92.058	37.883	58.039	325.13	2.7952	26.572	0.038572	supercritical
190.00	15.567	204.85	0.0048815	23.039	26.384	92.031	37.888	58.074	325.17	2.7923	26.587	0.038598	supercritical
190.00	15.600	205.34	0.0048700	23.035	26.378	92.004	37.893	58.108	325.22	2.7893	26.602	0.038625	supercritical
190.00	15.633	205.82	0.0048586	23.030	26.373	91.977	37.898	58.143	325.27	2.7864	26.617	0.038651	supercritical
190.00	15.667	206.30	0.0048472	23.025	26.367	91.950	37.903	58.178	325.32	2.7834	26.632	0.038677	supercritical
190.00	15.700	206.79	0.0048359	23.021	26.362	91.923	37.908	58.212	325.38	2.7805	26.647	0.038703	supercritical
190.00	15.733	207.27	0.0048246	23.016	26.357	91.896	37.913	58.247	325.43	2.7775	26.663	0.038729	supercritical
190.00	15.767	207.75	0.0048134	23.011	26.351	91.869	37.918	58.282	325.48	2.7745	26.678	0.038756	supercritical
190.00	15.800	208.24	0.0048022	23.007	26.346	91.842	37.923	58.316	325.53	2.7716	26.693	0.038782	supercritical
190.00	15.833	208.72	0.0047911	23.002	26.340	91.815	37.928	58.351	325.58	2.7686	26.708	0.038808	supercritical
