Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
170.00	10.000	134.84	0.0074162	22.992	26.255	94.971	36.696	53.380	311.16	3.5994	23.802	0.033640	supercritical
170.00	10.033	135.34	0.0073887	22.986	26.249	94.932	36.703	53.422	311.16	3.5966	23.814	0.033664	supercritical
170.00	10.067	135.84	0.0073615	22.981	26.243	94.893	36.710	53.465	311.15	3.5938	23.825	0.033688	supercritical
170.00	10.100	136.34	0.0073344	22.976	26.236	94.855	36.717	53.508	311.15	3.5910	23.837	0.033712	supercritical
170.00	10.133	136.85	0.0073075	22.971	26.230	94.816	36.724	53.551	311.15	3.5881	23.849	0.033736	supercritical
170.00	10.167	137.35	0.0072807	22.966	26.223	94.777	36.732	53.594	311.14	3.5853	23.861	0.033760	supercritical
170.00	10.200	137.85	0.0072542	22.961	26.217	94.739	36.739	53.637	311.14	3.5825	23.872	0.033784	supercritical
170.00	10.233	138.35	0.0072278	22.955	26.211	94.700	36.746	53.680	311.14	3.5796	23.884	0.033809	supercritical
170.00	10.267	138.86	0.0072017	22.950	26.204	94.662	36.753	53.723	311.14	3.5768	23.896	0.033833	supercritical
170.00	10.300	139.36	0.0071756	22.945	26.198	94.624	36.760	53.766	311.14	3.5739	23.908	0.033857	supercritical
170.00	10.333	139.86	0.0071498	22.940	26.191	94.586	36.767	53.809	311.14	3.5711	23.920	0.033882	supercritical
170.00	10.367	140.37	0.0071241	22.935	26.185	94.548	36.774	53.852	311.14	3.5682	23.932	0.033906	supercritical
170.00	10.400	140.87	0.0070986	22.929	26.179	94.510	36.781	53.895	311.13	3.5654	23.944	0.033931	supercritical
170.00	10.433	141.38	0.0070733	22.924	26.172	94.472	36.788	53.938	311.13	3.5625	23.956	0.033955	supercritical
170.00	10.467	141.88	0.0070481	22.919	26.166	94.434	36.795	53.981	311.13	3.5596	23.968	0.033980	supercritical
170.00	10.500	142.39	0.0070231	22.914	26.159	94.396	36.802	54.024	311.13	3.5567	23.981	0.034005	supercritical
170.00	10.533	142.89	0.0069982	22.909	26.153	94.358	36.809	54.068	311.14	3.5538	23.993	0.034029	supercritical
170.00	10.567	143.40	0.0069735	22.904	26.147	94.321	36.816	54.111	311.14	3.5509	24.005	0.034054	supercritical
170.00	10.600	143.91	0.0069490	22.898	26.140	94.283	36.823	54.154	311.14	3.5480	24.017	0.034079	supercritical
170.00	10.633	144.41	0.0069246	22.893	26.134	94.246	36.830	54.198	311.14	3.5451	24.030	0.034104	supercritical
170.00	10.667	144.92	0.0069004	22.888	26.127	94.209	36.837	54.241	311.14	3.5422	24.042	0.034129	supercritical
170.00	10.700	145.43	0.0068763	22.883	26.121	94.171	36.844	54.285	311.14	3.5392	24.054	0.034154	supercritical
170.00	10.733	145.93	0.0068524	22.878	26.114	94.134	36.851	54.328	311.15	3.5363	24.067	0.034179	supercritical
170.00	10.767	146.44	0.0068287	22.872	26.108	94.097	36.858	54.372	311.15	3.5334	24.079	0.034204	supercritical
170.00	10.800	146.95	0.0068051	22.867	26.102	94.060	36.865	54.415	311.15	3.5304	24.091	0.034229	supercritical
170.00	10.833	147.46	0.0067816	22.862	26.095	94.023	36.872	54.459	311.16	3.5275	24.104	0.034254	supercritical
