Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
120.00	10.000	167.31	0.0059770	20.821	23.451	88.249	36.519	60.172	282.49	4.7595	22.300	0.031727	supercritical
120.00	10.033	168.00	0.0059525	20.813	23.442	88.202	36.532	60.266	282.46	4.7545	22.318	0.031768	supercritical
120.00	10.067	168.69	0.0059282	20.806	23.432	88.156	36.545	60.361	282.44	4.7495	22.337	0.031809	supercritical
120.00	10.100	169.38	0.0059040	20.798	23.422	88.110	36.558	60.455	282.41	4.7445	22.355	0.031850	supercritical
120.00	10.133	170.07	0.0058800	20.791	23.413	88.063	36.571	60.549	282.38	4.7394	22.374	0.031891	supercritical
120.00	10.167	170.76	0.0058561	20.783	23.403	88.017	36.584	60.644	282.36	4.7343	22.392	0.031933	supercritical
120.00	10.200	171.45	0.0058324	20.776	23.394	87.971	36.596	60.739	282.34	4.7293	22.411	0.031974	supercritical
120.00	10.233	172.15	0.0058089	20.768	23.384	87.925	36.609	60.834	282.31	4.7242	22.430	0.032016	supercritical
120.00	10.267	172.84	0.0057855	20.760	23.375	87.879	36.622	60.930	282.29	4.7190	22.449	0.032057	supercritical
120.00	10.300	173.54	0.0057623	20.753	23.365	87.833	36.635	61.025	282.27	4.7139	22.468	0.032099	supercritical
120.00	10.333	174.24	0.0057393	20.745	23.355	87.787	36.648	61.121	282.24	4.7088	22.487	0.032141	supercritical
120.00	10.367	174.94	0.0057164	20.738	23.346	87.741	36.660	61.217	282.22	4.7036	22.507	0.032183	supercritical
120.00	10.400	175.64	0.0056936	20.730	23.336	87.696	36.673	61.313	282.20	4.6984	22.526	0.032226	supercritical
120.00	10.433	176.34	0.0056710	20.723	23.327	87.650	36.686	61.410	282.18	4.6932	22.545	0.032268	supercritical
120.00	10.467	177.04	0.0056485	20.715	23.317	87.604	36.699	61.506	282.16	4.6879	22.565	0.032311	supercritical
120.00	10.500	177.74	0.0056262	20.708	23.307	87.559	36.711	61.603	282.14	4.6827	22.584	0.032353	supercritical
120.00	10.533	178.44	0.0056040	20.700	23.298	87.513	36.724	61.700	282.12	4.6774	22.604	0.032396	supercritical
120.00	10.567	179.15	0.0055820	20.692	23.288	87.468	36.737	61.797	282.11	4.6721	22.624	0.032439	supercritical
120.00	10.600	179.85	0.0055601	20.685	23.279	87.423	36.750	61.894	282.09	4.6668	22.644	0.032482	supercritical
