Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
80.000	10.000	221.60	0.0045126	18.736	20.722	80.908	38.027	81.740	251.63	5.9546	21.945	0.033366	supercritical
80.000	10.033	222.74	0.0044896	18.723	20.706	80.844	38.054	82.049	251.57	5.9433	21.983	0.033458	supercritical
80.000	10.067	223.88	0.0044668	18.710	20.689	80.779	38.081	82.360	251.52	5.9319	22.022	0.033551	supercritical
80.000	10.100	225.02	0.0044441	18.698	20.673	80.714	38.108	82.673	251.47	5.9205	22.060	0.033645	supercritical
80.000	10.133	226.16	0.0044216	18.685	20.657	80.650	38.135	82.987	251.42	5.9090	22.099	0.033739	supercritical
80.000	10.167	227.31	0.0043992	18.672	20.640	80.585	38.162	83.303	251.37	5.8974	22.138	0.033834	supercritical
80.000	10.200	228.47	0.0043770	18.659	20.624	80.520	38.189	83.621	251.33	5.8857	22.178	0.033929	supercritical
80.000	10.233	229.62	0.0043550	18.646	20.608	80.456	38.216	83.940	251.28	5.8740	22.218	0.034025	supercritical
80.000	10.267	230.78	0.0043331	18.633	20.591	80.391	38.242	84.261	251.24	5.8621	22.258	0.034121	supercritical
80.000	10.300	231.95	0.0043113	18.620	20.575	80.326	38.269	84.584	251.20	5.8503	22.298	0.034218	supercritical
80.000	10.333	233.12	0.0042896	18.607	20.558	80.262	38.296	84.908	251.16	5.8383	22.339	0.034316	supercritical
80.000	10.367	234.29	0.0042682	18.594	20.542	80.197	38.323	85.234	251.12	5.8262	22.380	0.034414	supercritical
80.000	10.400	235.47	0.0042468	18.581	20.525	80.133	38.349	85.561	251.08	5.8141	22.422	0.034513	supercritical
80.000	10.433	236.65	0.0042256	18.568	20.508	80.068	38.376	85.891	251.05	5.8019	22.463	0.034612	supercritical
80.000	10.467	237.84	0.0042045	18.555	20.492	80.004	38.403	86.222	251.01	5.7897	22.506	0.034711	supercritical
80.000	10.500	239.03	0.0041836	18.542	20.475	79.939	38.429	86.554	250.98	5.7773	22.548	0.034812	supercritical
80.000	10.533	240.22	0.0041628	18.529	20.459	79.874	38.456	86.888	250.95	5.7649	22.591	0.034912	supercritical
80.000	10.567	241.42	0.0041422	18.516	20.442	79.810	38.482	87.224	250.92	5.7524	22.634	0.035014	supercritical
80.000	10.600	242.62	0.0041216	18.502	20.425	79.745	38.509	87.561	250.89	5.7398	22.678	0.035116	supercritical
80.000	10.633	243.83	0.0041013	18.489	20.408	79.681	38.535	87.900	250.87	5.7272	22.721	0.035218	supercritical
80.000	10.667	245.04	0.0040810	18.476	20.391	79.616	38.562	88.240	250.84	5.7145	22.766	0.035321	supercritical
80.000	10.700	246.25	0.0040609	18.462	20.375	79.552	38.588	88.582	250.82	5.7017	22.810	0.035424	supercritical
80.000	10.733	247.47	0.0040409	18.449	20.358	79.487	38.614	88.925	250.80	5.6888	22.855	0.035529	supercritical
80.000	10.767	248.69	0.0040210	18.436	20.341	79.422	38.640	89.270	250.78	5.6758	22.900	0.035633	supercritical
80.000	10.800	249.92	0.0040013	18.422	20.324	79.358	38.667	89.616	250.76	5.6628	22.946	0.035738	supercritical
80.000	10.833	251.15	0.0039817	18.409	20.307	79.293	38.693	89.964	250.75	5.6497	22.992	0.035844	supercritical
80.000	10.867	252.39	0.0039622	18.395	20.290	79.229	38.719	90.313	250.73	5.6365	23.039	0.035950	supercritical
80.000	10.900	253.62	0.0039428	18.382	20.273	79.164	38.745	90.663	250.72	5.6232	23.085	0.036057	supercritical
80.000	10.933	254.87	0.0039236	18.368	20.256	79.100	38.771	91.015	250.71	5.6099	23.132	0.036164	supercritical
80.000	10.967	256.11	0.0039045	18.355	20.239	79.035	38.796	91.368	250.71	5.5965	23.180	0.036272	supercritical
80.000	11.000	257.36	0.0038855	18.341	20.222	78.971	38.822	91.723	250.70	5.5830	23.228	0.036380	supercritical
80.000	11.033	258.62	0.0038667	18.327	20.205	78.906	38.848	92.078	250.70	5.5694	23.276	0.036489	supercritical
80.000	11.067	259.88	0.0038479	18.314	20.188	78.842	38.874	92.435	250.69	5.5558	23.325	0.036598	supercritical
80.000	11.100	261.14	0.0038293	18.300	20.171	78.778	38.899	92.794	250.69	5.5421	23.374	0.036708	supercritical
80.000	11.133	262.41	0.0038108	18.286	20.154	78.713	38.925	93.153	250.70	5.5283	23.423	0.036818	supercritical
80.000	11.167	263.68	0.0037925	18.273	20.136	78.649	38.950	93.514	250.70	5.5144	23.473	0.036929	supercritical
80.000	11.200	264.96	0.0037742	18.259	20.119	78.584	38.975	93.875	250.71	5.5005	23.523	0.037040	supercritical
80.000	11.233	266.24	0.0037561	18.245	20.102	78.520	39.001	94.238	250.72	5.4865	23.574	0.037152	supercritical
80.000	11.267	267.52	0.0037381	18.231	20.085	78.455	39.026	94.602	250.73	5.4724	23.625	0.037264	supercritical
80.000	11.300	268.81	0.0037202	18.217	20.067	78.391	39.051	94.967	250.74	5.4583	23.676	0.037377	supercritical
80.000	11.333	270.10	0.0037024	18.204	20.050	78.327	39.076	95.333	250.75	5.4440	23.728	0.037490	supercritical
80.000	11.367	271.39	0.0036847	18.190	20.033	78.262	39.101	95.700	250.77	5.4297	23.780	0.037604	supercritical
80.000	11.400	272.69	0.0036671	18.176	20.016	78.198	39.126	96.068	250.79	5.4153	23.833	0.037718	supercritical
80.000	11.433	274.00	0.0036497	18.162	19.998	78.134	39.150	96.437	250.81	5.4009	23.886	0.037832	supercritical
80.000	11.467	275.30	0.0036324	18.148	19.981	78.069	39.175	96.806	250.83	5.3863	23.939	0.037947	supercritical
80.000	11.500	276.61	0.0036151	18.134	19.963	78.005	39.200	97.176	250.86	5.3717	23.993	0.038063	supercritical
80.000	11.533	277.93	0.0035980	18.120	19.946	77.941	39.224	97.547	250.89	5.3571	24.047	0.038179	supercritical
80.000	11.567	279.25	0.0035810	18.106	19.929	77.877	39.248	97.919	250.92	5.3423	24.102	0.038295	supercritical
80.000	11.600	280.57	0.0035642	18.092	19.911	77.812	39.272	98.292	250.95	5.3275	24.157	0.038412	supercritical
80.000	11.633	281.90	0.0035474	18.078	19.894	77.748	39.297	98.665	250.99	5.3126	24.213	0.038530	supercritical
80.000	11.667	283.23	0.0035307	18.063	19.876	77.684	39.321	99.038	251.02	5.2977	24.268	0.038647	supercritical
80.000	11.700	284.56	0.0035142	18.049	19.859	77.620	39.344	99.412	251.06	5.2826	24.325	0.038766	supercritical
80.000	11.733	285.90	0.0034977	18.035	19.841	77.556	39.368	99.787	251.11	5.2675	24.382	0.038884	supercritical
80.000	11.767	287.24	0.0034814	18.021	19.824	77.491	39.392	100.16	251.15	5.2524	24.439	0.039003	supercritical
80.000	11.800	288.59	0.0034652	18.007	19.806	77.427	39.415	100.54	251.20	5.2371	24.496	0.039122	supercritical
80.000	11.833	289.94	0.0034490	17.992	19.789	77.363	39.439	100.91	251.25	5.2218	24.554	0.039242	supercritical
