Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
200.00	10.000	122.13	0.0081879	24.228	27.831	98.413	37.144	51.855	325.63	3.0783	24.830	0.035363	supercritical
200.00	10.033	122.57	0.0081586	24.223	27.826	98.376	37.150	51.886	325.64	3.0761	24.840	0.035383	supercritical
200.00	10.067	123.01	0.0081295	24.219	27.821	98.340	37.155	51.916	325.64	3.0739	24.850	0.035402	supercritical
200.00	10.100	123.45	0.0081005	24.215	27.815	98.303	37.160	51.947	325.65	3.0717	24.860	0.035421	supercritical
200.00	10.133	123.89	0.0080718	24.210	27.810	98.267	37.166	51.977	325.66	3.0695	24.869	0.035440	supercritical
200.00	10.167	124.33	0.0080433	24.206	27.805	98.231	37.171	52.008	325.66	3.0674	24.879	0.035460	supercritical
200.00	10.200	124.77	0.0080149	24.202	27.799	98.195	37.176	52.039	325.67	3.0651	24.889	0.035479	supercritical
200.00	10.233	125.21	0.0079867	24.197	27.794	98.159	37.181	52.070	325.68	3.0629	24.899	0.035498	supercritical
200.00	10.267	125.65	0.0079588	24.193	27.789	98.123	37.187	52.100	325.69	3.0607	24.909	0.035518	supercritical
200.00	10.300	126.09	0.0079310	24.188	27.783	98.087	37.192	52.131	325.69	3.0585	24.919	0.035537	supercritical
200.00	10.333	126.53	0.0079034	24.184	27.778	98.051	37.197	52.162	325.70	3.0563	24.928	0.035557	supercritical
200.00	10.367	126.97	0.0078759	24.180	27.773	98.015	37.203	52.193	325.71	3.0541	24.938	0.035576	supercritical
200.00	10.400	127.41	0.0078487	24.175	27.768	97.980	37.208	52.223	325.72	3.0519	24.948	0.035596	supercritical
200.00	10.433	127.85	0.0078216	24.171	27.762	97.944	37.213	52.254	325.73	3.0496	24.958	0.035615	supercritical
200.00	10.467	128.29	0.0077947	24.166	27.757	97.909	37.218	52.285	325.73	3.0474	24.968	0.035635	supercritical
200.00	10.500	128.73	0.0077680	24.162	27.752	97.873	37.224	52.316	325.74	3.0452	24.978	0.035654	supercritical
200.00	10.533	129.18	0.0077414	24.158	27.746	97.838	37.229	52.347	325.75	3.0429	24.988	0.035674	supercritical
200.00	10.567	129.62	0.0077150	24.153	27.741	97.803	37.234	52.378	325.76	3.0407	24.998	0.035694	supercritical
200.00	10.600	130.06	0.0076888	24.149	27.736	97.768	37.239	52.409	325.77	3.0384	25.008	0.035713	supercritical
200.00	10.633	130.50	0.0076628	24.144	27.730	97.733	37.245	52.439	325.78	3.0362	25.019	0.035733	supercritical
200.00	10.667	130.94	0.0076369	24.140	27.725	97.698	37.250	52.470	325.79	3.0339	25.029	0.035753	supercritical
200.00	10.700	131.39	0.0076112	24.136	27.720	97.663	37.255	52.501	325.80	3.0317	25.039	0.035772	supercritical
200.00	10.733	131.83	0.0075856	24.131	27.714	97.628	37.260	52.532	325.81	3.0294	25.049	0.035792	supercritical
200.00	10.767	132.27	0.0075602	24.127	27.709	97.594	37.266	52.563	325.82	3.0272	25.059	0.035812	supercritical
200.00	10.800	132.71	0.0075350	24.122	27.704	97.559	37.271	52.594	325.83	3.0249	25.070	0.035832	supercritical
200.00	10.833	133.16	0.0075099	24.118	27.699	97.524	37.276	52.625	325.85	3.0226	25.080	0.035852	supercritical
200.00	10.867	133.60	0.0074850	24.114	27.693	97.490	37.281	52.656	325.86	3.0203	25.090	0.035872	supercritical
