Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
110.00	10.000	176.97	0.0056506	20.349	22.836	86.664	36.663	63.022	275.71	5.0430	22.080	0.031655	supercritical
110.00	10.033	177.73	0.0056267	20.341	22.825	86.614	36.678	63.139	275.67	5.0372	22.101	0.031703	supercritical
110.00	10.067	178.48	0.0056028	20.332	22.815	86.565	36.693	63.257	275.64	5.0313	22.122	0.031750	supercritical
110.00	10.100	179.24	0.0055792	20.324	22.804	86.516	36.708	63.375	275.61	5.0255	22.143	0.031798	supercritical
110.00	10.133	180.00	0.0055557	20.316	22.793	86.467	36.723	63.493	275.58	5.0195	22.164	0.031846	supercritical
110.00	10.167	180.76	0.0055323	20.307	22.783	86.418	36.738	63.611	275.55	5.0136	22.186	0.031894	supercritical
110.00	10.200	181.52	0.0055091	20.299	22.772	86.369	36.753	63.730	275.52	5.0076	22.207	0.031942	supercritical
110.00	10.233	182.28	0.0054861	20.291	22.762	86.320	36.767	63.849	275.49	5.0017	22.229	0.031991	supercritical
110.00	10.267	183.04	0.0054632	20.282	22.751	86.272	36.782	63.969	275.46	4.9957	22.251	0.032039	supercritical
110.00	10.300	183.81	0.0054405	20.274	22.740	86.223	36.797	64.088	275.43	4.9896	22.273	0.032088	supercritical
110.00	10.333	184.57	0.0054179	20.266	22.730	86.174	36.812	64.209	275.41	4.9836	22.295	0.032137	supercritical
110.00	10.367	185.34	0.0053955	20.257	22.719	86.126	36.827	64.329	275.38	4.9775	22.317	0.032186	supercritical
110.00	10.400	186.11	0.0053732	20.249	22.708	86.077	36.842	64.449	275.35	4.9714	22.339	0.032236	supercritical
110.00	10.433	186.88	0.0053511	20.240	22.698	86.029	36.856	64.570	275.33	4.9652	22.361	0.032285	supercritical
110.00	10.467	187.65	0.0053291	20.232	22.687	85.981	36.871	64.692	275.30	4.9591	22.383	0.032335	supercritical
110.00	10.500	188.42	0.0053073	20.224	22.676	85.932	36.886	64.813	275.28	4.9529	22.406	0.032385	supercritical
110.00	10.533	189.19	0.0052856	20.215	22.665	85.884	36.901	64.935	275.26	4.9467	22.429	0.032435	supercritical
110.00	10.567	189.97	0.0052640	20.207	22.655	85.836	36.916	65.057	275.24	4.9405	22.451	0.032485	supercritical
110.00	10.600	190.75	0.0052426	20.198	22.644	85.788	36.930	65.180	275.21	4.9342	22.474	0.032536	supercritical
110.00	10.633	191.52	0.0052213	20.190	22.633	85.740	36.945	65.302	275.19	4.9279	22.497	0.032586	supercritical
110.00	10.667	192.30	0.0052002	20.181	22.623	85.692	36.960	65.425	275.17	4.9216	22.520	0.032637	supercritical
110.00	10.700	193.08	0.0051792	20.173	22.612	85.644	36.974	65.549	275.15	4.9153	22.543	0.032688	supercritical
110.00	10.733	193.86	0.0051583	20.164	22.601	85.596	36.989	65.672	275.13	4.9089	22.567	0.032739	supercritical
110.00	10.767	194.65	0.0051375	20.156	22.590	85.548	37.004	65.796	275.12	4.9026	22.590	0.032791	supercritical
110.00	10.800	195.43	0.0051169	20.147	22.580	85.501	37.018	65.920	275.10	4.8962	22.613	0.032842	supercritical
110.00	10.833	196.21	0.0050965	20.139	22.569	85.453	37.033	66.045	275.08	4.8897	22.637	0.032894	supercritical
110.00	10.867	197.00	0.0050761	20.130	22.558	85.405	37.048	66.169	275.07	4.8833	22.661	0.032946	supercritical
110.00	10.900	197.79	0.0050559	20.122	22.547	85.358	37.062	66.294	275.05	4.8768	22.685	0.032998	supercritical
