Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
180.00	10.000	130.23	0.0076789	23.406	26.786	96.155	36.829	52.753	316.16	3.4133	24.140	0.034164	supercritical
180.00	10.033	130.70	0.0076508	23.402	26.780	96.117	36.836	52.791	316.16	3.4107	24.151	0.034186	supercritical
180.00	10.067	131.18	0.0076229	23.397	26.774	96.079	36.842	52.829	316.16	3.4082	24.162	0.034208	supercritical
180.00	10.100	131.66	0.0075953	23.392	26.768	96.041	36.848	52.867	316.16	3.4056	24.173	0.034230	supercritical
180.00	10.133	132.14	0.0075677	23.387	26.762	96.003	36.855	52.905	316.16	3.4030	24.184	0.034252	supercritical
180.00	10.167	132.62	0.0075404	23.382	26.756	95.966	36.861	52.943	316.16	3.4004	24.195	0.034274	supercritical
180.00	10.200	133.10	0.0075133	23.377	26.750	95.928	36.867	52.981	316.16	3.3978	24.206	0.034296	supercritical
180.00	10.233	133.58	0.0074863	23.372	26.744	95.891	36.874	53.019	316.16	3.3953	24.217	0.034318	supercritical
180.00	10.267	134.06	0.0074595	23.367	26.738	95.853	36.880	53.057	316.16	3.3927	24.228	0.034341	supercritical
180.00	10.300	134.54	0.0074329	23.363	26.732	95.816	36.887	53.095	316.17	3.3900	24.239	0.034363	supercritical
180.00	10.333	135.02	0.0074065	23.358	26.726	95.779	36.893	53.133	316.17	3.3874	24.250	0.034385	supercritical
180.00	10.367	135.50	0.0073802	23.353	26.720	95.741	36.899	53.172	316.17	3.3848	24.262	0.034408	supercritical
180.00	10.400	135.98	0.0073542	23.348	26.714	95.704	36.906	53.210	316.17	3.3822	24.273	0.034430	supercritical
180.00	10.433	136.46	0.0073282	23.343	26.708	95.667	36.912	53.248	316.18	3.3796	24.284	0.034453	supercritical
180.00	10.467	136.94	0.0073025	23.338	26.702	95.630	36.918	53.286	316.18	3.3769	24.295	0.034475	supercritical
180.00	10.500	137.42	0.0072769	23.333	26.696	95.594	36.925	53.325	316.18	3.3743	24.307	0.034498	supercritical
180.00	10.533	137.90	0.0072515	23.328	26.690	95.557	36.931	53.363	316.19	3.3717	24.318	0.034520	supercritical
180.00	10.567	138.38	0.0072262	23.323	26.684	95.520	36.937	53.401	316.19	3.3690	24.329	0.034543	supercritical
180.00	10.600	138.87	0.0072011	23.319	26.678	95.484	36.944	53.440	316.19	3.3664	24.341	0.034565	supercritical
180.00	10.633	139.35	0.0071762	23.314	26.672	95.447	36.950	53.478	316.20	3.3637	24.352	0.034588	supercritical
180.00	10.667	139.83	0.0071514	23.309	26.666	95.411	36.956	53.517	316.20	3.3610	24.364	0.034611	supercritical
180.00	10.700	140.31	0.0071268	23.304	26.660	95.374	36.963	53.555	316.21	3.3584	24.375	0.034634	supercritical
180.00	10.733	140.80	0.0071024	23.299	26.654	95.338	36.969	53.594	316.21	3.3557	24.387	0.034657	supercritical
180.00	10.767	141.28	0.0070781	23.294	26.648	95.302	36.975	53.632	316.22	3.3530	24.398	0.034679	supercritical
180.00	10.800	141.76	0.0070539	23.289	26.642	95.266	36.981	53.671	316.23	3.3503	24.410	0.034702	supercritical
180.00	10.833	142.25	0.0070299	23.284	26.636	95.230	36.988	53.709	316.23	3.3477	24.422	0.034725	supercritical
180.00	10.867	142.73	0.0070061	23.279	26.630	95.194	36.994	53.748	316.24	3.3450	24.433	0.034748	supercritical
180.00	10.900	143.22	0.0069824	23.274	26.624	95.158	37.000	53.786	316.25	3.3423	24.445	0.034771	supercritical
180.00	10.933	143.70	0.0069588	23.270	26.618	95.122	37.007	53.825	316.25	3.3396	24.457	0.034794	supercritical
180.00	10.967	144.19	0.0069354	23.265	26.612	95.086	37.013	53.864	316.26	3.3369	24.469	0.034817	supercritical
180.00	11.000	144.67	0.0069122	23.260	26.606	95.051	37.019	53.902	316.27	3.3342	24.480	0.034841	supercritical
180.00	11.033	145.16	0.0068891	23.255	26.600	95.015	37.025	53.941	316.28	3.3314	24.492	0.034864	supercritical
180.00	11.067	145.64	0.0068661	23.250	26.594	94.980	37.032	53.980	316.28	3.3287	24.504	0.034887	supercritical
180.00	11.100	146.13	0.0068433	23.245	26.588	94.944	37.038	54.019	316.29	3.3260	24.516	0.034910	supercritical
180.00	11.133	146.61	0.0068206	23.240	26.582	94.909	37.044	54.057	316.30	3.3233	24.528	0.034934	supercritical
180.00	11.167	147.10	0.0067980	23.235	26.576	94.874	37.050	54.096	316.31	3.3205	24.540	0.034957	supercritical
180.00	11.200	147.59	0.0067756	23.230	26.570	94.839	37.057	54.135	316.32	3.3178	24.552	0.034980	supercritical
180.00	11.233	148.07	0.0067534	23.225	26.564	94.803	37.063	54.174	316.33	3.3150	24.564	0.035004	supercritical
180.00	11.267	148.56	0.0067312	23.220	26.558	94.768	37.069	54.213	316.34	3.3123	24.576	0.035027	supercritical
180.00	11.300	149.05	0.0067092	23.216	26.552	94.733	37.075	54.252	316.35	3.3095	24.588	0.035051	supercritical
180.00	11.333	149.54	0.0066873	23.211	26.546	94.699	37.082	54.291	316.36	3.3068	24.600	0.035074	supercritical
180.00	11.367	150.02	0.0066656	23.206	26.540	94.664	37.088	54.329	316.37	3.3040	24.612	0.035098	supercritical
180.00	11.400	150.51	0.0066440	23.201	26.534	94.629	37.094	54.368	316.38	3.3012	24.624	0.035122	supercritical
180.00	11.433	151.00	0.0066225	23.196	26.528	94.594	37.100	54.407	316.39	3.2985	24.637	0.035145	supercritical
180.00	11.467	151.49	0.0066012	23.191	26.522	94.560	37.107	54.446	316.40	3.2957	24.649	0.035169	supercritical
180.00	11.500	151.98	0.0065799	23.186	26.516	94.525	37.113	54.485	316.42	3.2929	24.661	0.035193	supercritical
180.00	11.533	152.47	0.0065588	23.181	26.510	94.491	37.119	54.524	316.43	3.2901	24.673	0.035217	supercritical
180.00	11.567	152.96	0.0065379	23.176	26.504	94.456	37.125	54.563	316.44	3.2873	24.686	0.035240	supercritical
180.00	11.600	153.44	0.0065170	23.171	26.498	94.422	37.131	54.602	316.45	3.2845	24.698	0.035264	supercritical
180.00	11.633	153.93	0.0064963	23.166	26.492	94.388	37.138	54.641	316.47	3.2817	24.710	0.035288	supercritical
180.00	11.667	154.42	0.0064757	23.161	26.486	94.354	37.144	54.681	316.48	3.2789	24.723	0.035312	supercritical
180.00	11.700	154.91	0.0064552	23.156	26.480	94.319	37.150	54.720	316.49	3.2761	24.735	0.035336	supercritical
180.00	11.733	155.40	0.0064348	23.152	26.474	94.285	37.156	54.759	316.51	3.2733	24.748	0.035360	supercritical
180.00	11.767	155.89	0.0064146	23.147	26.468	94.251	37.162	54.798	316.52	3.2704	24.760	0.035384	supercritical
180.00	11.800	156.39	0.0063944	23.142	26.462	94.217	37.168	54.837	316.54	3.2676	24.773	0.035409	supercritical
180.00	11.833	156.88	0.0063744	23.137	26.456	94.184	37.175	54.876	316.55	3.2648	24.785	0.035433	supercritical
180.00	11.867	157.37	0.0063545	23.132	26.450	94.150	37.181	54.915	316.57	3.2619	24.798	0.035457	supercritical
180.00	11.900	157.86	0.0063348	23.127	26.445	94.116	37.187	54.955	316.58	3.2591	24.811	0.035481	supercritical
180.00	11.933	158.35	0.0063151	23.122	26.439	94.082	37.193	54.994	316.60	3.2562	24.823	0.035506	supercritical
180.00	11.967	158.84	0.0062955	23.117	26.433	94.049	37.199	55.033	316.61	3.2534	24.836	0.035530	supercritical
180.00	12.000	159.33	0.0062761	23.112	26.427	94.015	37.205	55.072	316.63	3.2505	24.849	0.035554	supercritical
180.00	12.033	159.83	0.0062568	23.107	26.421	93.982	37.211	55.112	316.65	3.2477	24.862	0.035579	supercritical
180.00	12.067	160.32	0.0062376	23.102	26.415	93.949	37.217	55.151	316.66	3.2448	24.874	0.035603	supercritical
180.00	12.100	160.81	0.0062184	23.097	26.409	93.915	37.224	55.190	316.68	3.2419	24.887	0.035628	supercritical
180.00	12.133	161.30	0.0061994	23.092	26.403	93.882	37.230	55.229	316.70	3.2391	24.900	0.035652	supercritical
180.00	12.167	161.80	0.0061805	23.087	26.397	93.849	37.236	55.269	316.72	3.2362	24.913	0.035677	supercritical
180.00	12.200	162.29	0.0061618	23.082	26.391	93.816	37.242	55.308	316.73	3.2333	24.926	0.035701	supercritical
180.00	12.233	162.79	0.0061431	23.078	26.385	93.783	37.248	55.347	316.75	3.2304	24.939	0.035726	supercritical
